,HighWeight,LowWeight,RelativeWeight
SOCIAL MEDIA PRESSURE,8.0,,
BEAUTY BLOGGING GENRE,7.0,,
SAM'S CLUB,,6.0,
PET CARE THEME,,7.0,
RED HAIR,6.0,,
CONFIDENCE BOOST,,7.0,
EXPRESSIVE GESTURES,8.0,7.0,1.1428571428571428
ANTICIPATION EXPRESSION,7.0,,
SURPRISED EXPRESSION,7.0,,
DOG DAYCARE SCENE,,6.0,
SHOPPING,,7.0,
