,HighWeight,LowWeight,RelativeWeight
12S ULTRA,8.0,,
PLANT OR DECOR ITEM,1.0,,
TECH REVIEW SETTING,8.0,,
WALL DECOR,20.0,,
XIAOMI 12S ULTRA,8.0,,
SAMSUNG GALAXY S22 ULTRA,1.0,,
MOON PHOTOGRAPHY,7.0,,
ENGLISH LANGUAGE,8.0,,
TECHNOLOGY REVIEW,1.0,,
CAMERA PHONE COMPARISON,8.0,,
BATHROOM SETTING,24.0,18.0,1.3333333333333333
TOOTHBRUSH,8.0,,
POP SONG AUDIO,1.0,1.0,1.0
SHOWER CURTAIN,7.0,,
TOWEL,7.0,,
NO BACKGROUND MUSIC,,1.0,
OVERLAPPING MUSIC,,5.0,
SILENCE PATTERNS,,1.0,
POOR ARTICULATION CLARITY,6.0,6.0,1.0
DYNAMIC FACIAL EXPRESSIONS,16.0,,
ROOM DECOR,7.0,,
LIGHT FIXTURE,14.0,,
PENDANT NECKLACE,8.0,,
WIRELESS EARBUDS,7.0,,
COMEDIC SKIT,16.0,,
GLOBE,7.0,,
WOODEN SPOON,7.0,,
INDOOR KITCHEN SETTING,31.0,,
TEMU PRODUCTS,8.0,,
DISCOUNT CODE,7.0,,
SOUND EFFECTS,1.0,,
BOOKS OR NOTEBOOKS,7.0,,
GAVEL,7.0,,
CASUAL INDOOR SETTING,,6.0,
FASHION OUTFIT,,7.0,
"BRAND ""FENDI""",,5.0,
"BRAND ""MISTA""",,1.0,
WARM LIGHTING,17.0,6.0,2.8333333333333335
DECORATIVE BACKGROUND,,5.0,
NEUTRAL WALL COLORS,,5.0,
LONG FLOWING HAIR,,6.0,
HOOP EARRINGS,,5.0,
METALLIC BUTTONS,,5.0,
HEAD TILT AND TURN,,6.0,
PEACE SIGN GESTURE,15.0,6.0,2.5
DAY IN THE LIFE VLOG,,7.0,
LARGE ICED BEVERAGE,,6.0,
MARKETING PROFESSIONAL,,1.0,
MASERATI,8.0,,
AJ'S,8.0,6.0,1.3333333333333333
SUPER BOWL WASTE MANAGEMENT,,6.0,
BARRETT-JACKSON,,6.0,
FOOD NETWORK BAKING COMPETITION,,6.0,
YOUTUBE CHANNEL,14.0,6.0,2.3333333333333335
PUBLISHER,,6.0,
MAGAZINE,,1.0,
PITCH PATTERNS,8.0,,
MOVIE THEATER,7.0,,
BAKING COMPETITION,7.0,,
YOUTUBE CONTENT,8.0,,
MAGAZINE STORY,1.0,,
HOUSE,7.0,,
PARTY SCENE,9.0,,
Y2K THEME,16.0,,
BALLOONS,14.0,,
DJ SETUP,8.0,,
DRINKS,7.0,,
GUESTS,1.0,,
INDOOR EVENT SPACE,1.0,,
BIRTHDAY CELEBRATION,9.0,,
BIRTHDAY PARTY,8.0,,
INDOOR PARTY SETTING,8.0,,
Y2K BALLOONS,7.0,,
DECORATIVE TABLECLOTH,6.0,,
PARTY LIGHTING,7.0,,
CUPS AND CANS,6.0,,
STAIRCASE,5.0,,
CATCHY POP SONG,8.0,,
BRITNEY SPEARS'S VOCALS,1.0,,
BRITNEY SPEARS,7.0,,
TOXIC SONG,1.0,,
OTHER INDIVIDUALS,7.0,,
AUDIO FREQUENCY ANALYSIS,,5.0,
INSTRUMENTAL BREAKS,,5.0,
ELECTRONIC HUMS,,5.0,
FAINT MUSICAL ELEMENTS,,5.0,
STUDIO NOISE,,1.0,
CAT SCENE,,6.0,
DOG DAYCARE SCENE,,6.0,
AI MANGA FILTER,,7.0,
JAPANESE POP SONG,,1.0,
DOGS,,6.0,
DOG DAYCARE,,6.0,
JAPANESE VOCALIST,,1.0,
CAT,8.0,6.0,1.3333333333333333
MAKEUP PRODUCTS,25.0,8.0,3.125
SPEAKER'S PITCH,7.0,,
SPEAKER'S PACE,1.0,,
LIGHT PINK HOODIE,7.0,,
LIGHT BLUE WALL,14.0,,
WHITE SHELVES,7.0,,
FIGURINES,6.0,,
AMERICAN ACCENT,37.0,,
TAPPING SOUNDS,7.0,,
LIP SMACKING,1.0,,
INFLUENCER VIDEO,,7.0,
WALMART,,18.0,
ROCK GRAPHIC TEES,,7.0,
ICONIC ROCK BANDS,,6.0,
RETAIL ENVIRONMENT,,5.0,
FASHION CONTENT,,6.0,
VIDEO FRAME,,1.0,
MALE VOCALS,1.0,6.0,0.16666666666666666
CAKE WITH ELSA DESIGN,9.0,,
INDOOR BAKERY SETTING,8.0,,
WISHFUL THINKING CAKES,7.0,,
CORI,7.0,,
EDEN,7.0,,
MALE NARRATOR,8.0,6.0,1.3333333333333333
SNOWFLAKE DECORATIONS,7.0,,
"TOPPER WITH ""4 EDEN""",8.0,,
GLOSSY COUNTER,6.0,,
WHITE SUBWAY TILES,1.0,,
ELSA CHARACTER IMAGE,8.0,,
HAIR TOOL,,7.0,
PATTERNED ROBE,,6.0,
DEMONSTRATION,8.0,7.0,1.1428571428571428
POSITIVE COMMENTARY,,7.0,
SEATED POSTURE,14.0,6.0,2.3333333333333335
INDOOR DECOR,,1.0,
CLEAN MINIMALISTIC SETTING,8.0,,
WHITE DOOR,7.0,,
ARMANI BEAUTY LUMINOUS SILK FOUNDATION,8.0,,
ARMANI BEAUTY LUMINOUS SILK CONCEALER,1.0,,
SOUTHERN US ACCENT,7.0,,
MAKEUP DISCUSSION,8.0,,
TUTORIAL VIDEO,9.0,,
NUFACE DEVICE,8.0,,
ON-SCREEN TEXT,22.0,12.0,1.8333333333333333
TIKTOK LOGO AND USERNAME,13.0,,
BEEPING SOUND,1.0,,
USER REQUEST,7.0,,
MINIMALIST SETTING,7.0,,
CONVERSATIONAL TONE,32.0,,
PAUSES IN SPEECH,7.0,,
SPEED VARIATIONS,7.0,,
SOFA OR CHAIR,6.0,,
LIGHTING,53.0,1.0,53.0
CHEEKBONE APPLICATION,8.0,,
MIRROR SELFIE,7.0,7.0,1.0
OVERLAY TEXT,8.0,6.0,1.3333333333333333
POSITIVE MESSAGE,,6.0,
TOILETRIES,,6.0,
BODY POSITION,,6.0,
POSE AND POSTURE,,6.0,
SETTING,,1.0,
SEASONING PACKET,7.0,,
GLASS MIXING BOWL,6.0,,
UPBEAT LATIN MUSIC,13.0,,
RECIPE AUDIO,1.0,,
INTERACTION WITH PRODUCT,8.0,,
INDOOR KITCHEN ENVIRONMENT,1.0,,
HOMEMADE TACO SEASONING,9.0,,
METAL SOUNDS,1.0,,
SPEECH PATTERNS,15.0,7.0,2.142857142857143
VOLUME ANALYSIS,7.0,,
INGREDIENTS LIST,9.0,,
PARENTING TIPS,8.0,,
SUBSCRIPTION BOX,8.0,,
ACTIVITY KITS,8.0,,
TWINS,17.0,,
GREEN BOX,16.0,,
CAR SEAT,1.0,,
SUMMER VACATION,15.0,,
VEHICLE,7.0,,
INFLUENCER USERNAME,1.0,,
KIWICO,8.0,,
KIWICO CRATES,9.0,,
PANDA CRATE,8.0,,
ROAD TRIP,8.0,,
BOWL OF PHO,8.0,,
RESTAURANT SETTING,7.0,,
PERSONAL BRANDING,1.0,,
SATISFACTION EXPRESSION,8.0,,
ENJOYMENT EXPRESSION,9.0,,
CHOPSTICK GESTURE,7.0,,
CAMERA ENGAGEMENT,6.0,,
ANTICIPATION EXPRESSION,7.0,,
INDOOR RESTAURANT SETTING,8.0,,
PHO DISH,9.0,,
TABLE ELEMENTS,7.0,,
FAH HAPPINESS,1.0,,
SINCERITY,61.0,,
DISCOMFORT,22.0,,
CITY AMBIANCE,7.0,,
POSITIVE EMOTIONAL STATE,11.0,8.0,1.375
HVAC SYSTEM,,5.0,
RESTAURANT AMBIENCE,,1.0,
BRISKET BUN,,5.0,
GRILLED MEAT,8.0,,
TONGS,7.0,,
GRILL OR GRIDDLE SURFACE,8.0,,
SMOKE OR STEAM,7.0,,
KITCHEN OR COOKING SPACE,8.0,,
SOONG HAK KOREAN BARBECUE,7.0,,
KOREAN BARBECUE,7.0,,
GOPCHANG,7.0,,
BRISKET,7.0,,
PORK BELLY,7.0,,
KIMCHI FRIED RICE,1.0,,
COOKING TECHNIQUE,17.0,,
RETAIL STORE AISLE,,7.0,
LARGE BEVERAGE CONTAINER,,6.0,
PHONE CALL AUDIO,,7.0,
SHOPPING CART,,6.0,
PRICE SIGN,,6.0,
BALLOON,,5.0,
TRANSCRIPT,8.0,,
RECORDING,1.0,,
AUDIO,9.0,,
DECORATED BACKGROUND,7.0,,
HEART DESIGN,7.0,,
FESTIVE ATMOSPHERE,8.0,,
NEUTRAL COLOR PALETTE,7.0,,
HEADBAND,6.0,,
WINDOW AND BACKGROUND BUILDINGS,,1.0,
URBAN BACKGROUND,7.0,,
NATURAL LIGHTING,25.0,6.0,4.166666666666667
WOMAN'S VOICE,9.0,,
HEALTH ADVICE,9.0,,
AUDIO PRESENTATION,1.0,,
GUT HEALTH,9.0,,
NUTRIENT DEFICIENCIES,9.0,,
CORTISOL,8.0,,
TESTOSTERONE,8.0,,
HEALTHCARE PROFESSIONAL,9.0,,
MOLD TOXICITY,7.0,,
HEAVY METALS,7.0,,
LIFESTYLE,1.0,,
HORMONE BALANCE,9.0,,
SILENCE,8.0,,
COMPACT STORAGE SOLUTIONS,8.0,,
PERSONALIZED TOUCHES,7.0,,
CREATIVE DISPLAY,8.0,,
DECORATIVE STICKERS,7.0,,
SOFT DIFFUSE LIGHTING,8.0,,
CDS OR BOOKLETS,7.0,,
PINK AND PASTEL THEME,8.0,,
WHITE METAL-FRAMED SHELVING UNIT,7.0,,
MELANCHOLIC PIANO NOTES,1.0,,
E.L.F. COSMETICS,,7.0,
HALO GLOW WANDS,,7.0,
REGGAETON AUDIO,,1.0,
BODY POSTURE,40.0,6.0,6.666666666666667
DELAY,8.0,,
REVERB,14.0,,
LIVING ROOM SETTING,8.0,,
DOG,15.0,6.0,2.5
SPONSORSHIP CONSIDERATIONS,1.0,,
SOFA WITH PILLOWS,7.0,,
COFFEE TABLE ITEMS,7.0,,
NEATLY MADE BED,7.0,,
LARGE WINDOW,9.0,,
PLUCKED STRING INSTRUMENT,7.0,,
SYNTH PADS,7.0,,
SUBTLE BASS,6.0,,
PERCUSSION ELEMENTS,6.0,,
WELL-LIT LIVING ROOM,8.0,,
HIP HOP SONG,7.0,,
CORPORATE JOB,7.0,,
WOODEN CABINET,7.0,,
COLORFUL FABRIC,1.0,,
VINTAGE CLOTHING,8.0,,
STORYTIME VLOG,9.0,,
SPONSORED COMPONENT,7.0,,
HALLOW: PRAYER & MEDITATION,7.0,,
SITTING POSTURE,1.0,,
MENTAL HEALTH DISCUSSION,9.0,,
TEACHING EXPERIENCE,9.0,,
PAID PROMOTION LABEL,7.0,,
CALM SETTING,8.0,,
ADVERTISEMENT,6.0,,
VIDEO INTERFACE,5.0,,
SOCIAL MEDIA ELEMENTS,7.0,,
FLUFFY PILLOWS,7.0,,
DECORATIVE PLANT,7.0,,
VIDEO DESCRIPTION,8.0,,
HALLOW APP,6.0,,
SUBSCRIBER COUNT,7.0,,
MUSIC,18.0,,
SPEECH,2.0,,
COZY ENVIRONMENT,16.0,,
SPOKEN SECTION,9.0,,
MUSIC SECTION,8.0,,
EMOTIONAL CONTRAST,9.0,,
SILENCE AND PAUSES,7.0,,
EMOTIONAL RESPONSE,16.0,,
TRANSITION IN CONTENT,1.0,,
WALKIE-TALKIE,8.0,,
SECOND INDIVIDUAL,7.0,,
WHITE SHIRT,13.0,,
BLUE CLOTHING,6.0,,
WHITE HAT,5.0,,
WOODEN TABLE,6.0,6.0,1.0
CHAIRS,6.0,,
TRAP MUSIC,1.0,,
SPENDING PRIORITIES,8.0,,
VISUAL TEXT OVERLAYS,7.0,,
PHYSICAL EXPRESSIONS,8.0,,
CONVERSATION ABOUT INVESTING,1.0,,
AGE 30,7.0,,
AGE 40,7.0,,
SNEAKERS,8.0,,
FRIEND 1,8.0,,
FRIEND 2,1.0,,
AGE 20,7.0,,
CONVERSATIONAL RHYTHM,8.0,,
HUMOROUS TIKTOK SKIT,9.0,,
BOUJEE BLACK DAD,8.0,,
LUXURY ITEMS,7.0,,
TESLA FEATURES,7.0,,
STOCK CHECK,7.0,,
JEWELRY SHOPPING,7.0,,
TIKTOK INTERFACE ELEMENTS,6.0,,
RAIN ON WINDSHIELD,5.0,,
ROAD AND TRAFFIC,5.0,,
CREATIVE PURPOSES,7.0,,
ENGAGING DEMEANOR,8.0,,
RAINY WEATHER,5.0,,
GLOOMY ATMOSPHERE,5.0,,
BOUJEE_INVESTING,1.0,,
INVESTMENT SUGGESTIONS,8.0,,
VINYL RECORD SCRATCH,7.0,,
ELECTRONIC BEAT,8.0,,
SIGH SOUNDS,5.0,,
LAUGH SOUND,1.0,,
VOCAL EMPHASIS,7.0,,
"PHRASE ""TELL NOBODY""",7.0,,
VOCAL INFLECTION,6.0,,
SPOKEN-WORD QUALITY,7.0,,
NARROW PITCH RANGE,6.0,,
RHYTHMIC DELIVERY,8.0,,
MELODIC RAPPING,8.0,,
SUBURBAN NEIGHBORHOOD,15.0,,
RUNNING ATTIRE,8.0,,
STREETS,8.0,,
ROAD MARKINGS,6.0,,
WOODEN FENCE,6.0,,
OVERHEAD POWER LINES,6.0,,
SIDEWALK,1.0,,
HOUSES,7.0,,
THE KNOT DR. DETANGLING HOT AIR BRUSH,,7.0,
CONAIR,,6.0,
UPBEAT JINGLE,,5.0,
FEMININE VOICE,,1.0,
DEMONSTRATION AND USAGE,,7.0,
REVIEW AND FEEDBACK,,6.0,
VISUAL AND AESTHETIC STYLE,,5.0,
ENGAGEMENT,,6.0,
HAIR CARE AND STYLING THEME,,6.0,
COMEDIC SCENARIO,,7.0,
SUSPICIOUS RECEIPT,,7.0,
SOUL MUSIC,,6.0,
TRIO,,1.0,
ONION PURCHASES,,7.0,
WOMAN IN CONVERSATION,,1.0,
TWO INDIVIDUALS,,6.0,
POSTURE AND MOVEMENT,1.0,,
PRODUCT INTRODUCTION AND INTERACTION,7.0,,
OVERALL STRATEGY,8.0,,
INFLUENCER'S EMOTIONAL STATE,8.0,,
BLACK HISTORY MONTH,8.0,,
POLICE CRUISERS,8.0,,
AFRICAN-AMERICAN STUDIES,1.0,,
DARK BROWN CABINETS,7.0,,
POLICE BRUTALITY,8.0,,
REPRESENTATION IN EDUCATION,8.0,,
LAW ENFORCEMENT VEHICLES,8.0,,
EQUAL RIGHTS,8.0,,
POLICE REFORM,8.0,,
BARBER TRAINING,7.0,,
BOOTLICKERS,7.0,,
BADGE BUNNIES,7.0,,
COUNTRY AS A JOKE,1.0,,
FAREWELL MESSAGE,8.0,,
GUITAR,8.0,,
UPBEAT ELECTRONIC MUSIC,1.0,,
DIRECT GAZE,8.0,,
WARM TONES,7.0,,
BOOKSHELF,6.0,,
FRAMED POSTER,1.0,,
REVERB/DELAY,8.0,,
CHEERFUL FACIAL EXPRESSIONS,8.0,,
CHILDHOOD PHOTO,,7.0,
CURRENT IMAGE,,7.0,
"MUSIC ""SWAG SURFIN'""",,6.0,
SPORTS MEMORABILIA,,6.0,
T-SHIRT DESIGN,,6.0,
CURRENT EMOTIONAL STATE,,6.0,
GESTURE,,6.0,
TRANSITION TO ADULTHOOD,,7.0,
FOUR ON THE FLOOR KICK DRUM,,5.0,
SOULFUL MALE VOICE,,6.0,
CHILDHOOD EMOTIONAL STATE,,6.0,
BARGAIN SERIES,8.0,,
PARAMOUNT+,15.0,,
BIOHAZARD PROP,7.0,,
PROMOTIONAL BACKDROP,7.0,,
THEMED EVENT,8.0,,
AWARDS AND FESTIVAL LOGOS,1.0,,
COLORFUL LIGHTING,1.0,,
RED BANNER,7.0,,
BACKGROUND DESIGN,7.0,,
AUDIO REVIEW,8.0,,
REVIEWER,8.0,,
"MINISERIES ""BARGAIN""",9.0,,
AUDIO PAUSES,9.0,,
SUSPENSE AND ANTICIPATION,9.0,,
EMPHASIS ON KEY POINTS,1.0,,
EARTHQUAKE SCENE,8.0,,
FIGHTING TO SURVIVE STATEMENT,1.0,,
TOFU PACKAGE,8.0,,
SPONSORED CONTENT,21.0,16.0,1.3125
ENGAGEMENT STRATEGIES,17.0,,
COOKING ACTIVITY,8.0,,
KITCHEN BACKDROP,8.0,,
FRYING PAN,7.0,,
ATHENOS FETA CHEESE,8.0,,
HARISSA,7.0,,
EGG,7.0,,
DILL,6.0,,
TORTILLA,1.0,,
SIZZLING SOUNDS,8.0,,
PLATE,1.0,,
BRANDED BOX,,7.0,
THREDUP,,6.0,
GIVE BACK BOX,,6.0,
NEUTRAL TONE CLOSET,,6.0,
EMOTIONS DISPLAYED,,1.0,
KARAOKE BAR,8.0,,
PEACE SIGN,8.0,6.0,1.3333333333333333
STRING LIGHTS,7.0,,
CRATES,6.0,,
VINYL NIGHT,8.0,,
1980S MUSIC,1.0,,
TABLES OR COUNTERS,6.0,,
TENTS OR AWNING,6.0,,
CASUAL RESTAURANT,8.0,,
HAIR ROUTINE,9.0,,
TILED BACKGROUND,1.0,,
OLAMONDE GOURMAND SKIN SCENT COLLECTION,8.0,,
BRANDED TISSUE PAPER,6.0,,
CARDBOARD BOX,7.0,,
LEMON BOURBON,7.0,,
CLEMENTINE BISOU,8.0,,
TRIPLE ZERO FRAGRANCE,1.0,,
LARGE HOOP EARRINGS,6.0,,
MULTIPLE RINGS,6.0,,
HEART EMOJI,6.0,,
NORTH AMERICAN ACCENT,7.0,,
RUSTLING PAPER,7.0,,
SNIFFING SOUNDS,7.0,,
PRODUCT PROMOTION,8.0,,
THE WESLEY,8.0,,
WEST VILLAGE,8.0,,
MENU,14.0,,
WINE GLASSES,14.0,,
BRUNCH EXPERIENCE,9.0,,
DISHES,8.0,,
CAMERA MOVEMENT,8.0,,
BRIGHT ENVIRONMENT,7.0,,
HANDWRITTEN NOTE,1.0,,
DINING SETTING,8.0,,
TABLE SURFACE,7.0,,
CHAIR BACK,6.0,,
HIP HOP MUSIC,7.0,,
MENU DETAILS,7.0,,
AESTHETIC ELEMENTS,7.0,,
MUTED TONES,7.0,,
SOPHISTICATION AND COMFORT,8.0,,
HIP HOP BEAT,7.0,,
SYNTH CHORDS,7.0,,
MERCURY RETROGRADE,7.0,,
LO-FI HIP HOP FEEL,1.0,,
BRUNCH RECOMMENDATION,8.0,,
GRADUATION SCENE,,7.0,
FEMALE INDIVIDUAL LEFT,,7.0,
FEMALE INDIVIDUAL RIGHT,,7.0,
GRADUATION ATTIRE,,6.0,
FINGER HEART GESTURE,,6.0,
DECORATIVE LIGHTS,7.0,6.0,1.1666666666666667
BLUE AND GOLD STOLES,,6.0,
MIRRORBALL EMOJI,,5.0,
GRADUATION CAP EMOJI,,5.0,
NEUTRAL-COLORED WALL,,5.0,
CLASS OF 2023,,1.0,
GRADUATION CAPS,,6.0,
KITCHEN OR BAR SETTING,8.0,,
LARGE POT,7.0,,
SUGAR,15.0,,
PRODUCTS IN BACKGROUND,6.0,,
SHELVES WITH BOTTLES,14.0,,
GREEN SHIRT,12.0,,
BLACK COOKING POT,7.0,,
BANANA SYRUP TUTORIAL,9.0,,
KITCHEN SOUNDS,1.0,,
YELLOW FOOD COLORING,6.0,,
WATER,8.0,,
BANANA,8.0,,
KITCHEN ACTIVITY SOUNDS,1.0,,
URBAN OUTDOOR SETTING,1.0,6.0,0.16666666666666666
BRANDED BAG,,7.0,
HIP-HOP SONG,,6.0,
FEMALE RAPPER,,1.0,
ORNATE DOORWAY,,5.0,
WOODEN DOOR,,5.0,
METAL GRILL,,5.0,
STAIR RAILINGS,,6.0,
BRICK WALL,,6.0,
STYLISH BLACK BUCKET HAT,,7.0,
LONG PUFFER COAT,,7.0,
LIFESTYLE OR FASHION THEME,,8.0,
HIP-HOP SONG WITH FEMALE VOCALIST,,1.0,
AUDIO EDITING SOFTWARE,,1.0,
HEADWEAR ON WALL,7.0,,
LARGE MIRROR,13.0,,
FAKE EYELASHES,8.0,,
DRUGSTORE PRODUCTS,15.0,,
VLOG-STYLE FORMAT,10.0,,
VOCAL EXPRESSIONS,8.0,,
MAKEUP APPLICATION,9.0,,
COMEDIC TONE,8.0,,
EXCLAMATION,7.0,,
PHONE VIBRATION,1.0,,
GARMENT DISPLAY,7.0,,
DIY CRAFTING TUTORIAL,10.0,,
MATERIALS DISPLAYED,9.0,,
CRAFTING PROCESS,10.0,,
POSSIBLE SPONSORSHIP INDICATORS,6.0,,
TIKTOK HANDLE WATERMARK,7.0,,
PRODUCT FEATURING,6.0,,
PRIDE WAND,9.0,,
PRIDE MONTH,1.0,,
JINGLE BELLS,7.0,,
DIY PROJECT,8.0,,
PRIDE PARADE,7.0,,
SHORT PAUSES,1.0,,
CHEERFUL MOOD,7.0,,
LARGE CARDBOARD BOX,7.0,,
ALFRED'S GIVEAWAY,1.0,,
CUSHIONED SURFACE,6.0,,
FRAMED ITEMS,6.0,,
STYLISH HANDBAG,,7.0,
TROPICAL BACKGROUND,,6.0,
SYMMETRY BRAND,,6.0,
EMBROIDERED MOTIFS,,6.0,
FEMALE HAND,,7.0,
PARADE,8.0,,
SLEEPWEAR,18.0,,
MUSTARD YELLOW FURNITURE,7.0,,
SPONSORED VIDEO,1.0,,
PARADE LOGO,8.0,,
CIRCUS-THEMED MUSIC,8.0,,
TIKTOK CONTENT MANAGEMENT,,7.0,
COZY HOME SETTING,,6.0,
NOTEBOOK OR TABLET,,6.0,
MOTIVATIONAL MESSAGE,,1.0,
CASUAL OUTFIT,7.0,5.0,1.4
FILLER WORDS,7.0,,
ROSA,9.0,,
DUMPLINGS,9.0,,
PROFESSIONAL KITCHEN,8.0,,
STAINLESS STEEL TABLES,7.0,,
TILED BACKSPLASH,6.0,,
METAL COUNTER,7.0,,
METAL TRAYS,7.0,,
WHITE TOWEL,6.0,,
STACKED PLASTIC CONTAINERS,6.0,,
STICKER LABELS,6.0,,
OVERHEAD METALLIC KITCHEN TOOLS,1.0,,
KITCHEN TOOLS,7.0,,
TWITTER VERIFICATION,1.0,,
CASUAL CLOTHING,7.0,,
TABLE,6.0,,
CAMERA,8.0,,
SARCASM,,8.0,
CONVERSATIONAL STYLE,,7.0,
PAID VERIFICATION,,7.0,
LUXURIOUS HOTEL,,7.0,
POOL SCENE,,6.0,
ROOM INSPECTION SCENE,,6.0,
DINING EXPERIENCE SCENE,,6.0,
OVERALL HUMOR,,7.0,
POV STYLE,,7.0,
HOTEL SNOB,,7.0,
MAKEUP THEME,,7.0,
HAIR STYLING GESTURE,,6.0,
LIGHTING EFFECTS,,6.0,
GLITTERY EYE SHADOW,,6.0,
LIGHT PINK TOP,,5.0,
SHIMMERY EYE MAKEUP,,7.0,
BEAUTY TUTORIAL,8.0,,
SEATED POSITION,1.0,,
VISUAL EMPHASIS,7.0,,
COMMUNICATION STYLE,8.0,,
NON-VERBAL CUES,7.0,,
CALL-TO-ACTION,1.0,,
DECOR ITEMS,7.0,,
BRUNCH SPOT,9.0,,
MEAL,8.0,,
CAFE OR RESTAURANT SETTING,8.0,,
BAR AREA,7.0,,
SHELVING AND BOTTLES,14.0,,
GLASSWARE,13.0,,
BRUNCH PLACE TEXT OVERLAY,7.0,,
TASK-ORIENTED MOVEMENTS,8.0,,
"SITGES, SPAIN",8.0,,
BAR SETTING,8.0,,
ELECTRONIC DANCE MUSIC,2.0,1.0,2.0
YOUNG MAN WITH BACKPACK,,7.0,
OUTDOOR LOCATION,,6.0,
VIDEO GAME CHARACTER,,7.0,
VIRTUAL ENVIRONMENT,,6.0,
TIKTOK VIDEO,,7.0,
GAMING CULTURE,,8.0,
FORTNITE,,7.0,
DANCE ANIMATION,,8.0,
DIGITAL INTERFACE ELEMENTS,,6.0,
COLORFUL CLOTHING,,6.0,
LUSH GREENERY,,6.0,
VIBRANT ATMOSPHERE,,6.0,
SCREEN RECORDING,,7.0,
ARM MOVEMENT,,6.0,
LEG AND FOOT MOVEMENT,,6.0,
TORSO AND HEAD MOVEMENT,,6.0,
NEON ACCENTS,,6.0,
GLOWING EFFECTS,,1.0,
FEMININE STYLE,,6.0,
PARK SETTING,,6.0,
YOUNG CHILD,,7.0,
DEER,,5.0,
CIRCLE BEVERAGE,,6.0,
MILA,,6.0,
OSEA STORE,8.0,,
OSEA BRAND,8.0,,
CRANIAL WAVE FACIAL,8.0,,
LAURA,7.0,,
WHITE BUILDING,7.0,,
A-FRAME SIGNBOARD,6.0,,
WOODEN BENCH,6.0,,
SUNLIGHT AND SHADOWS,7.0,,
LOS ANGELES,8.0,1.0,8.0
FACIAL PRODUCTS,8.0,,
SPA-LIKE SOUNDS,7.0,,
VOCAL INFLECTIONS,8.0,,
STORE SIGN,7.0,,
MARK,8.0,,
RELAXED SIGH,7.0,,
SLIGHT HESITATIONS,1.0,,
BABY,17.0,,
CRUMBL COOKIES,7.0,,
SUPPORTIVE MESSAGE,9.0,,
MULTITASKING,8.0,,
MOTHERHOOD CHALLENGES,9.0,,
CARDBOARD BOXES,7.0,,
CHALKBOARD,7.0,,
LIGHT BLUE WALLS,7.0,,
RED CLOTHING,6.0,,
PIZZA BOXES,7.0,,
WOODEN FLOOR,1.0,6.0,0.16666666666666666
KITCHEN OR DINING AREA,8.0,,
LUSH GREEN FIELD,9.0,,
CROUCHING AND JUMPING MOVEMENT,8.0,,
CROP FIELD,7.0,,
DIRT PATHWAY,1.0,,
PEACEFUL ESCAPE,9.0,,
OPEN NATURAL SPACES,1.0,,
HALLWAY OR ENTRANCE AREA,,6.0,
CLOTHING STYLES,,7.0,
VERSACE BAG,,6.0,
STORES MENTIONED,,1.0,
HOME INTERIOR,,6.0,
OFF-CAMERA PERSON,,1.0,
OBJECT HANDLING,,6.0,
EMOTIONAL TONE,,1.0,
FITNESS THEME,8.0,,
HOME GYM,8.0,,
TREADMILL EXERCISE,8.0,,
WORKOUT CLOTHES,7.0,,
LO-FI MUSIC,7.0,,
CARDIOVASCULAR FITNESS,8.0,,
LEG STRENGTH,8.0,,
HOME FITNESS ROUTINES,8.0,,
EXERCISE EQUIPMENT,8.0,,
ATHLETIC SHOES,7.0,,
BRIGHT PINK TOP,6.0,,
EXPOSED WOODEN BEAMS,7.0,,
FRAMED PICTURE,13.0,,
BLACK ELECTRICAL CORD,6.0,,
MELLOW LEAD SYNTH,7.0,,
DEEP BASS SYNTH,7.0,,
ATMOSPHERIC PADS,7.0,,
DRUM MACHINE,7.0,,
PITCH SHIFTING,7.0,,
LOW-PASS FILTER,1.0,,
RUNNING FORM,16.0,,
SONG AUDIO,9.0,,
ONE THING PHRASE,8.0,,
CHORUS MELODY,9.0,,
GREEN VINTAGE VOLKSWAGEN CAMPER VAN,,7.0,
ORNAMENT,,5.0,
ROOF VENT,,5.0,
SIDE LOCKS AND HANDLES,,5.0,
REFLECTIVE HUBCAPS,,5.0,
HEAVY BASS,,6.0,
DISTORTED SYNTH MELODY,,1.0,
LIGHT-COLORED HOUSE,,5.0,
PALM TREE,,5.0,
SUNNY WEATHER,,5.0,
SONG SAMPLE,,6.0,
GIF,,7.0,
DRUGSTORE MAKEUP PRODUCTS,,7.0,
VISUAL FOCUS,,7.0,
SIGNS OF ENTHUSIASM,7.0,,
SIGNS OF DISCOMFORT,16.0,,
POTTED GREENERY,8.0,,
DOOR,7.0,,
WHITE TOP,8.0,,
BACKGROUND COLORS,8.0,,
RING LIGHT,9.0,,
VOCAL DELIVERY,8.0,,
CHORDS,7.0,,
BASS LINE,6.0,,
VOCAL FRY,8.0,,
VOCAL HARMONIES,8.0,,
ARTICULATION ISSUES,7.0,,
NEUTRAL FACIAL EXPRESSION,16.0,,
UPCOMING REVEAL,8.0,,
TAYLOR SWIFT CUPCAKES,7.0,,
ERAS TOUR,7.0,,
TAYLOR SWIFT MUSIC,7.0,,
SHOPPING EMOJIS,1.0,,
SPARKS FLY,8.0,,
CAR,7.0,,
CUPCAKES,7.0,,
BAKERY,1.0,,
TAYLOR SWIFT,8.0,,
MARATHON ADVICE,8.0,,
RUNNING ACTIVITY,9.0,,
BODY MOVEMENTS,8.0,,
