,HighWeight,LowWeight,RelativeWeight
MUSICAL ACCOMPANIMENT,8.0,,
SOUTHERN US ACCENT,7.0,,
HIGHLIGHTING AND CONTOURING,,7.0,
THRIFT SHOPPING EXPERIENCE,9.0,,
VISUAL PLACEMENT STRATEGY,7.0,,
WINE GLASSES,14.0,,
SPONSORSHIP INDICATION,7.0,7.0,1.0
NEUTRAL/CONFIDENT EXPRESSION,,5.0,
CLOTHING RACK,8.0,7.0,1.1428571428571428
DIRECT EYE CONTACT,17.0,,
ENGAGEMENT WITH AUDIENCE,8.0,,
HOOP EARRINGS,7.0,,
VISUAL FOCUS,14.0,,
HAND AND FINGER GESTURES,120.0,40.0,3.0
SEQUENTIAL FOCUS STRATEGY,7.0,,
SKINCARE ROUTINE,22.0,,
PHOTO SHOOT SESSION,,8.0,
CALL TO ACTION,19.0,1.0,19.0
WARNER'S BRAND,8.0,,
BREAKFAST PREPARATION,8.0,,
PANDEMIC,7.0,,
CLOSED EYES,6.0,,
FAMILY,7.0,7.0,1.0
LAKE MERRITT,7.0,,
THOUGHTFUL/SMILING EXPRESSION,,1.0,
RUNNING FORM,16.0,,
PRODUCT APPLICATION,,7.0,
SETTING AND COMPOSITION,,1.0,
SUNSCREEN BOTTLE,7.0,,
