entity,high_weights,high_counts,low_weights,low_counts,relative_weight,relative_count
TRAP BEAT,6.0,1.0,22.0,2.0,0.2727272727272727,0.5
LATIN POP INSTRUMENTAL,0.0,0.0,8.0,1.0,0.0,0.0
PIZZA BOXES,7.0,1.0,0.0,0.0,inf,inf
BRIGHT EYES,7.0,1.0,0.0,0.0,inf,inf
NO SIGNIFICANT LOW PITCHES,7.0,1.0,0.0,0.0,inf,inf
SCENTED CANDLES,8.0,1.0,0.0,0.0,inf,inf
PRO PAINT,0.0,0.0,6.0,1.0,0.0,0.0
ANNIE,0.0,0.0,7.0,1.0,0.0,0.0
WOODEN SHELF,0.0,0.0,7.0,1.0,0.0,0.0
OCCASIONAL SLIGHTLY LOUDER SOUNDS,6.0,1.0,0.0,0.0,inf,inf
APPEAL STRATEGY,7.0,1.0,0.0,0.0,inf,inf
KIWICO CRATES,0.0,0.0,16.0,1.0,0.0,0.0
BABY LAUNDRY DETERGENT,7.0,1.0,0.0,0.0,inf,inf
CIRCULAR WINDOW,6.0,1.0,0.0,0.0,inf,inf
CIRCULAR MIRROR,0.0,0.0,7.0,1.0,0.0,0.0
MEDIUM PAUSES,28.0,4.0,0.0,0.0,inf,inf
HAIR GESTURE,8.0,1.0,0.0,0.0,inf,inf
MULTIPLE RINGS,6.0,1.0,0.0,0.0,inf,inf
AUDIENCE ENGAGEMENT,29.0,4.0,22.0,3.0,1.3181818181818181,1.3333333333333333
ENGLISH LYRICS,17.0,2.0,0.0,0.0,inf,inf
SHADOWS,0.0,0.0,6.0,1.0,0.0,0.0
BEIGE HEADBOARD,7.0,1.0,0.0,0.0,inf,inf
CALM AND COMPOSED FACIAL EXPRESSION,0.0,0.0,8.0,1.0,0.0,0.0
PLAYFUL DANCE STYLE,0.0,0.0,8.0,1.0,0.0,0.0
MID SEQUENCE EXPRESSION,8.0,1.0,0.0,0.0,inf,inf
NO RECURRING PATTERNS,6.0,1.0,0.0,0.0,inf,inf
VOLUMINOUS CURLY RED HAIR,8.0,1.0,0.0,0.0,inf,inf
RIBBON,7.0,1.0,0.0,0.0,inf,inf
MUSICAL AUDIO,9.0,1.0,0.0,0.0,inf,inf
CONCENTRATED EXPRESSION,8.0,1.0,0.0,0.0,inf,inf
STYLED RED HAIR,9.0,1.0,0.0,0.0,inf,inf
NEUTRAL COLORS,13.0,2.0,22.0,3.0,0.5909090909090909,0.6666666666666666
LOSING CONTROL,7.0,1.0,0.0,0.0,inf,inf
DENIM JACKET,7.0,1.0,0.0,0.0,inf,inf
ROTATION AND MOVEMENT,5.0,1.0,0.0,0.0,inf,inf
BATHROOM ROUTINE,9.0,1.0,0.0,0.0,inf,inf
SMOOTH AND FLUID MOVEMENTS,0.0,0.0,8.0,1.0,0.0,0.0
TITLE TRANSITION,8.0,1.0,0.0,0.0,inf,inf
HALLWAY OR ENTRANCE AREA,0.0,0.0,8.0,1.0,0.0,0.0
TEXT ELEMENTS,16.0,2.0,0.0,0.0,inf,inf
MODERN INTERIOR,7.0,1.0,0.0,0.0,inf,inf
YOUNG WOMAN'S VOICE,0.0,0.0,7.0,1.0,0.0,0.0
CHEERFUL JINGLE,7.0,1.0,0.0,0.0,inf,inf
CLOSE-UP,0.0,0.0,8.0,1.0,0.0,0.0
AVERAGE VOLUME (RMS),13.0,2.0,0.0,0.0,inf,inf
UPBEAT INTONATION,9.0,1.0,0.0,0.0,inf,inf
PRODUCT PLACEMENT,121.0,17.0,44.0,5.0,2.75,3.4
WOMAN SPEAKING,18.0,2.0,9.0,1.0,2.0,2.0
SUBTLE BRANDING,8.0,1.0,0.0,0.0,inf,inf
INDOOR BATHROOM SETTING,0.0,0.0,10.0,1.0,0.0,0.0
NEUTRAL TONES,81.0,13.0,28.0,4.0,2.892857142857143,3.25
STABLE AND CLOSE-UP FRAMING,8.0,1.0,0.0,0.0,inf,inf
POTENTIAL SPONSORSHIP STRATEGIES,7.0,1.0,0.0,0.0,inf,inf
EXPRESSION OF ENTHUSIASM,0.0,0.0,7.0,1.0,0.0,0.0
HARMONIC RHYTHM,5.0,1.0,0.0,0.0,inf,inf
SOMBER MUSIC,8.0,1.0,0.0,0.0,inf,inf
ENGAGING EYES,7.0,1.0,0.0,0.0,inf,inf
DOGS,0.0,0.0,8.0,1.0,0.0,0.0
RELAXED AND SATISFIED EXPRESSION,7.0,1.0,0.0,0.0,inf,inf
AMBIENT SOUNDS,6.0,1.0,0.0,0.0,inf,inf
FREQUENT SHORT PAUSES,16.0,2.0,0.0,0.0,inf,inf
OVERALL IMPRESSION,16.0,2.0,9.0,1.0,1.7777777777777777,2.0
STADIUM DESCRIPTION,7.0,1.0,0.0,0.0,inf,inf
REPEATING VOCAL SAMPLE,7.0,1.0,0.0,0.0,inf,inf
METAL COUNTER,5.0,1.0,0.0,0.0,inf,inf
CLASSROOMS,7.0,1.0,0.0,0.0,inf,inf
PLAIN AND SOFT LIGHTING,0.0,0.0,6.0,1.0,0.0,0.0
CALL-AND-RESPONSE,0.0,0.0,8.0,1.0,0.0,0.0
ITEMS,6.0,1.0,0.0,0.0,inf,inf
CLEAN AND MINIMALISTIC ENVIRONMENT,8.0,1.0,0.0,0.0,inf,inf
RUSTLING,13.0,2.0,0.0,0.0,inf,inf
DEEP BASS DRUM,14.0,2.0,6.0,1.0,2.3333333333333335,2.0
ENGAGED DEMEANOR,8.0,1.0,0.0,0.0,inf,inf
CASUAL CONTENT,8.0,1.0,0.0,0.0,inf,inf
THEME OF LOYALTY,0.0,0.0,8.0,1.0,0.0,0.0
SUPPORTIVE HAND UNDER CHIN,6.0,1.0,0.0,0.0,inf,inf
PRESENTATION STYLE,7.0,1.0,0.0,0.0,inf,inf
DARK IRON RAILINGS,0.0,0.0,6.0,1.0,0.0,0.0
RAP SONG,33.0,3.0,9.0,1.0,3.6666666666666665,3.0
CATCHY R&B SONG,0.0,0.0,9.0,1.0,0.0,0.0
REAL FREAK BITCH,0.0,0.0,7.0,1.0,0.0,0.0
SUBTLE REVERB,7.0,1.0,0.0,0.0,inf,inf
LARGE CUP WITH STRAW,8.0,1.0,0.0,0.0,inf,inf
MEDIUM VOLUME LEVEL,8.0,1.0,0.0,0.0,inf,inf
EXCITEMENT FOR THE DAY,6.0,1.0,0.0,0.0,inf,inf
HAIR CLIPS,6.0,1.0,0.0,0.0,inf,inf
VISUAL AND VERBAL CUES,0.0,0.0,7.0,1.0,0.0,0.0
BEIS CARRY-ON LUGGAGE,0.0,0.0,18.0,1.0,0.0,0.0
MODERATELY FAST SPEECH RATE,26.0,3.0,15.0,2.0,1.7333333333333334,1.5
CLOSED DOOR,0.0,0.0,7.0,1.0,0.0,0.0
EYE CONTACT,162.0,15.0,53.0,6.0,3.056603773584906,2.5
DRIVING SYNTHESIZED BASSLINE,8.0,1.0,0.0,0.0,inf,inf
LAPTOP,0.0,0.0,8.0,1.0,0.0,0.0
HEAD SWAYS,6.0,1.0,0.0,0.0,inf,inf
BLUE CHEESE,9.0,1.0,0.0,0.0,inf,inf
PUBLIC SCRUTINY,0.0,0.0,8.0,1.0,0.0,0.0
BEDDING,14.0,2.0,0.0,0.0,inf,inf
HOUSTON'S CHINATOWN,9.0,1.0,0.0,0.0,inf,inf
BATHTUB,9.0,1.0,0.0,0.0,inf,inf
SUSTAINED STRINGS,7.0,1.0,0.0,0.0,inf,inf
EXPRESSIVE MOVEMENT,0.0,0.0,7.0,1.0,0.0,0.0
CLOTHES HANGERS,0.0,0.0,7.0,1.0,0.0,0.0
PAID PROMOTION LABEL,6.0,1.0,0.0,0.0,inf,inf
NATURAL CONVERSATIONAL TONE,0.0,0.0,9.0,1.0,0.0,0.0
GIF,7.0,1.0,0.0,0.0,inf,inf
FASHION TIPS,8.0,1.0,0.0,0.0,inf,inf
INDOOR SETTING,460.0,57.0,160.0,21.0,2.875,2.7142857142857144
RED-BROWN HAIR,7.0,1.0,0.0,0.0,inf,inf
SUNROOF PANEL,7.0,1.0,0.0,0.0,inf,inf
MODEL DIFFERENT PIECES,9.0,1.0,0.0,0.0,inf,inf
SOFT AND NATURAL LIGHTING,6.0,1.0,0.0,0.0,inf,inf
PRODUCT SAMPLING,0.0,0.0,8.0,1.0,0.0,0.0
LIGHT COLORED WALL,7.0,1.0,0.0,0.0,inf,inf
RUSTLING OF PAPER AND PACKAGING,8.0,1.0,0.0,0.0,inf,inf
DRAWN-OUT WORD,7.0,1.0,0.0,0.0,inf,inf
COZY ROOM,8.0,1.0,14.0,2.0,0.5714285714285714,0.5
CHANTING PHRASE,8.0,1.0,0.0,0.0,inf,inf
GRAPHICS,7.0,1.0,0.0,0.0,inf,inf
EQ,8.0,1.0,0.0,0.0,inf,inf
TONE AND SPEECH,7.0,1.0,0.0,0.0,inf,inf
CLOSET SETTING,8.0,1.0,0.0,0.0,inf,inf
WHITE NOISE SWEEPS AND RISERS,8.0,1.0,0.0,0.0,inf,inf
GENTLE UPWARD INFLECTIONS,7.0,1.0,0.0,0.0,inf,inf
CASUAL SETTING,82.0,11.0,24.0,3.0,3.4166666666666665,3.6666666666666665
RUSTLING PAPER,6.0,1.0,0.0,0.0,inf,inf
MUTED LIGHTING,7.0,1.0,6.0,1.0,1.1666666666666667,1.0
STANDING,0.0,0.0,7.0,1.0,0.0,0.0
VOCALS,8.0,1.0,17.0,2.0,0.47058823529411764,0.5
MAKEUP BRUSHES,8.0,1.0,0.0,0.0,inf,inf
SIGNIFICANT SILENCE,0.0,0.0,8.0,1.0,0.0,0.0
GENTLE TOUCH,8.0,1.0,0.0,0.0,inf,inf
WOODEN FENCE,6.0,1.0,0.0,0.0,inf,inf
PLANTING TREES WITH WELL PEOPLE AND ALO YOGA,6.0,1.0,0.0,0.0,inf,inf
BATHROOM,25.0,2.0,8.0,1.0,3.125,2.0
HANDS MOVE DOWNWARDS,7.0,1.0,0.0,0.0,inf,inf
PASSIONATE LOVE SONG,9.0,1.0,0.0,0.0,inf,inf
DESCENDING MELODIC PATTERN,0.0,0.0,8.0,1.0,0.0,0.0
CASUAL GAME,7.0,1.0,0.0,0.0,inf,inf
LEFT HAND ASSISTANCE,6.0,1.0,0.0,0.0,inf,inf
UPBEAT INSTRUMENTAL MUSIC,8.0,1.0,0.0,0.0,inf,inf
REPETITIVE MELODY,16.0,2.0,0.0,0.0,inf,inf
CRINKLING OF A BAG,6.0,1.0,0.0,0.0,inf,inf
EXCITEMENT,41.0,4.0,49.0,6.0,0.8367346938775511,0.6666666666666666
DECOR,8.0,1.0,6.0,1.0,1.3333333333333333,1.0
DOG,16.0,2.0,7.0,1.0,2.2857142857142856,2.0
EMOTIONAL VOCALS,9.0,1.0,0.0,0.0,inf,inf
CITY AMBIANCE,6.0,1.0,0.0,0.0,inf,inf
FILLER WORDS,24.0,4.0,0.0,0.0,inf,inf
DIRECT GAZE,17.0,2.0,25.0,3.0,0.68,0.6666666666666666
GRAY BRICK WALL,0.0,0.0,7.0,1.0,0.0,0.0
ELECTRONIC DANCE MUSIC,19.0,2.0,9.0,1.0,2.111111111111111,2.0
SLEEP SCHEDULE,6.0,1.0,0.0,0.0,inf,inf
CALM AND UNHURRIED MOVEMENTS,0.0,0.0,7.0,1.0,0.0,0.0
HANDS IN POCKETS,0.0,0.0,7.0,1.0,0.0,0.0
CLEAR PLASTIC CUP,7.0,1.0,0.0,0.0,inf,inf
JAM JAR WINES,10.0,1.0,0.0,0.0,inf,inf
BREAKFAST PREPARATION,9.0,1.0,0.0,0.0,inf,inf
FRIENDLY FACIAL EXPRESSION,0.0,0.0,8.0,1.0,0.0,0.0
CALM EXPRESSION,8.0,1.0,0.0,0.0,inf,inf
BUTT CHIN,6.0,1.0,0.0,0.0,inf,inf
POSITIVE AND CELEBRATORY EMOTIONAL STATE,9.0,1.0,0.0,0.0,inf,inf
EXPRESSIVE ARM AND HAND MOVEMENTS,0.0,0.0,8.0,1.0,0.0,0.0
ROOF VENT OR POP-UP FEATURE,0.0,0.0,7.0,1.0,0.0,0.0
BRIGHT COMMERCIAL LIGHTING,0.0,0.0,5.0,1.0,0.0,0.0
TEXT OVERLAY,383.0,47.0,186.0,24.0,2.0591397849462365,1.9583333333333333
STEVE MADDEN LOGO,0.0,0.0,8.0,1.0,0.0,0.0
LYING DOWN,9.0,1.0,0.0,0.0,inf,inf
FACE TIME CALLS,8.0,1.0,0.0,0.0,inf,inf
CHEERFUL SYNTHESIZED TUNE,0.0,0.0,7.0,1.0,0.0,0.0
STANDING POSTURE,43.0,6.0,7.0,1.0,6.142857142857143,6.0
CATCHY SYNTH MELODIES,0.0,0.0,8.0,1.0,0.0,0.0
GRADUATION CAPS,9.0,1.0,0.0,0.0,inf,inf
FAINT RUSTLING NOISES,7.0,1.0,0.0,0.0,inf,inf
GREEN SKIRT,9.0,1.0,0.0,0.0,inf,inf
WATER BOTTLE,6.0,1.0,0.0,0.0,inf,inf
"EMPHASIS ON ""PRETTY""",9.0,1.0,0.0,0.0,inf,inf
COLOR COORDINATION,8.0,1.0,0.0,0.0,inf,inf
INTERACTIVITY AND ENGAGEMENT,9.0,1.0,0.0,0.0,inf,inf
SHOPPING TIPS,0.0,0.0,7.0,1.0,0.0,0.0
SATISFACTION WITH FRAGRANCE,9.0,1.0,0.0,0.0,inf,inf
WIDE SMILE AND OPEN MOUTH,8.0,1.0,0.0,0.0,inf,inf
AUDIO FILE,16.0,2.0,7.0,1.0,2.2857142857142856,2.0
CLASSIC STAPLE PIECES,0.0,0.0,8.0,1.0,0.0,0.0
STOVE/KITCHEN RANGE,7.0,1.0,0.0,0.0,inf,inf
SLIGHT JUMPS,0.0,0.0,7.0,1.0,0.0,0.0
SPONSORSHIP CONFIRMATION,16.0,2.0,0.0,0.0,inf,inf
SIGH,38.0,7.0,26.0,4.0,1.4615384615384615,1.75
HEAD MOVEMENTS,139.0,20.0,102.0,14.0,1.3627450980392157,1.4285714285714286
CASUAL ENVIRONMENT,15.0,2.0,7.0,1.0,2.142857142857143,2.0
PERSON,0.0,0.0,8.0,1.0,0.0,0.0
CLOTHING WITH LOGO,6.0,1.0,0.0,0.0,inf,inf
SPEAKING PACE,16.0,2.0,0.0,0.0,inf,inf
PHO BOWL,8.0,1.0,0.0,0.0,inf,inf
SHORT LAUGH,7.0,1.0,0.0,0.0,inf,inf
CONFIDENT AND ENTHUSIASTIC EXPRESSION,0.0,0.0,9.0,1.0,0.0,0.0
PARENTING TIPS,0.0,0.0,8.0,1.0,0.0,0.0
TIKTOK HANDLE,46.0,7.0,7.0,1.0,6.571428571428571,7.0
CLIMBING STAIRS,8.0,1.0,0.0,0.0,inf,inf
MARIA LYRICS,0.0,0.0,8.0,1.0,0.0,0.0
HEAD TILTING AND NODDING,7.0,1.0,0.0,0.0,inf,inf
ASCENDING/DESCENDING PATTERN,0.0,0.0,6.0,1.0,0.0,0.0
PERSONAL APPROVAL,0.0,0.0,7.0,1.0,0.0,0.0
VISUALS,0.0,0.0,8.0,1.0,0.0,0.0
COOKING OR BAKING ACTIVITY,9.0,1.0,0.0,0.0,inf,inf
CIRCULAR PATH,0.0,0.0,7.0,1.0,0.0,0.0
MARKETING STRATEGY,7.0,1.0,0.0,0.0,inf,inf
PARALLEL AND CONTRARY MOTION,0.0,0.0,8.0,1.0,0.0,0.0
PILATES,8.0,1.0,0.0,0.0,inf,inf
PRICE POINT $18,6.0,1.0,0.0,0.0,inf,inf
CLOCK,0.0,0.0,8.0,1.0,0.0,0.0
DINNER PREPARATION,0.0,0.0,8.0,1.0,0.0,0.0
SLIGHT CONCERN,7.0,1.0,0.0,0.0,inf,inf
GROUP WORKOUT SESSION,7.0,1.0,0.0,0.0,inf,inf
CORI,7.0,1.0,0.0,0.0,inf,inf
TIED UP HAIR,0.0,0.0,7.0,1.0,0.0,0.0
REVIEWER'S VOICE,8.0,1.0,0.0,0.0,inf,inf
VIDEO INTERFACE,5.0,1.0,0.0,0.0,inf,inf
CHRISTMAS TREE,0.0,0.0,15.0,1.0,0.0,0.0
FASHION OR LIFESTYLE THEME,0.0,0.0,9.0,1.0,0.0,0.0
STICKER LABELS,3.0,1.0,0.0,0.0,inf,inf
COMMUTING,0.0,0.0,8.0,1.0,0.0,0.0
PERSONAL BRANDING,7.0,1.0,0.0,0.0,inf,inf
EMOTIONAL TURMOIL,9.0,1.0,0.0,0.0,inf,inf
POOR ARTICULATION CLARITY,33.0,4.0,8.0,1.0,4.125,4.0
VEHICLE,0.0,0.0,7.0,1.0,0.0,0.0
WATER RUNNING,13.0,2.0,0.0,0.0,inf,inf
GENRE,6.0,1.0,0.0,0.0,inf,inf
CONCENTRATED AND CONTENT EXPRESSION,8.0,1.0,0.0,0.0,inf,inf
SLIGHT HUM,0.0,0.0,6.0,1.0,0.0,0.0
KIMCHI RICE BOWL,6.0,1.0,0.0,0.0,inf,inf
WHITE VANITY OR DESK,0.0,0.0,7.0,1.0,0.0,0.0
PRODUCT DEMONSTRATION,8.0,1.0,7.0,1.0,1.1428571428571428,1.0
BRAND-SPECIFIC HASHTAGS,0.0,0.0,7.0,1.0,0.0,0.0
PITCH SHIFTING,8.0,1.0,0.0,0.0,inf,inf
UNIVERSITY CAMPUS,9.0,1.0,0.0,0.0,inf,inf
SEPHORA,6.0,1.0,0.0,0.0,inf,inf
PERFUME BOTTLE,0.0,0.0,9.0,1.0,0.0,0.0
HEAD POSITION,8.0,1.0,0.0,0.0,inf,inf
EYE MOVEMENT,95.0,13.0,49.0,7.0,1.9387755102040816,1.8571428571428572
HEAD TILTING,7.0,1.0,0.0,0.0,inf,inf
THOUGHTFUL AND ANIMATED,7.0,1.0,0.0,0.0,inf,inf
PLAYFUL POUT,0.0,0.0,7.0,1.0,0.0,0.0
ENGAGEMENT WITH THE PRODUCT,9.0,1.0,0.0,0.0,inf,inf
FOOD APPRECIATION,7.0,1.0,0.0,0.0,inf,inf
CHEERFULNESS,0.0,0.0,9.0,1.0,0.0,0.0
PITCH PATTERNS,16.0,2.0,0.0,0.0,inf,inf
"ANTICIPATION ""OOH""",0.0,0.0,7.0,1.0,0.0,0.0
DISCLAMERS,7.0,1.0,0.0,0.0,inf,inf
RELAXING VIBE,0.0,0.0,8.0,1.0,0.0,0.0
TEXT BRAND ON HOODIE,0.0,0.0,14.0,1.0,0.0,0.0
WATER-RESISTANT,8.0,1.0,0.0,0.0,inf,inf
FLUFFY WHITE RUG,6.0,1.0,0.0,0.0,inf,inf
KITCHENWARE,7.0,1.0,0.0,0.0,inf,inf
FINGERS COMBING HAIR,7.0,1.0,0.0,0.0,inf,inf
FRUSTRATION,8.0,1.0,0.0,0.0,inf,inf
SMOOTH HEAD MOVEMENTS,0.0,0.0,8.0,1.0,0.0,0.0
HAND ON HIP,6.0,1.0,0.0,0.0,inf,inf
STRUCTURAL BREAK,0.0,0.0,7.0,1.0,0.0,0.0
HAPPINESS,9.0,1.0,9.0,1.0,1.0,1.0
HOTEL SCENE,8.0,1.0,0.0,0.0,inf,inf
MIRRORBALL EMOJI,6.0,1.0,0.0,0.0,inf,inf
VIEWER'S COMMENT,16.0,2.0,0.0,0.0,inf,inf
RETAIL DISPLAYS,0.0,0.0,7.0,1.0,0.0,0.0
CAMERA OR PHONE,7.0,1.0,0.0,0.0,inf,inf
LAUGHTER,61.0,9.0,41.0,5.0,1.4878048780487805,1.8
SHUTTLE PICK-UP,7.0,1.0,0.0,0.0,inf,inf
CURIOUS/CONTEMPLATIVE EXPRESSION,7.0,1.0,0.0,0.0,inf,inf
SPONSORED CONTEXT,0.0,0.0,5.0,1.0,0.0,0.0
WHITE AND BEIGE TONES,0.0,0.0,7.0,1.0,0.0,0.0
CHARACTER ILLUSTRATION,7.0,1.0,0.0,0.0,inf,inf
NATURAL DEMEANOR,25.0,3.0,0.0,0.0,inf,inf
WIDE SMILE,0.0,0.0,8.0,1.0,0.0,0.0
THINKING PROCESS,0.0,0.0,6.0,1.0,0.0,0.0
SPARKLING STRANDS,0.0,0.0,6.0,1.0,0.0,0.0
ECHOING EFFECT,0.0,0.0,7.0,1.0,0.0,0.0
VIRTUAL OR GAMING SETTING,0.0,0.0,8.0,1.0,0.0,0.0
VIVITEST,0.0,0.0,7.0,1.0,0.0,0.0
LUXURIOUS LIFESTYLE,0.0,0.0,7.0,1.0,0.0,0.0
FASHIONABLE ENSEMBLE,0.0,0.0,8.0,1.0,0.0,0.0
QUIET ENVIRONMENT,103.0,13.0,0.0,0.0,inf,inf
"EMPHASIS ON ""GONE""",7.0,1.0,0.0,0.0,inf,inf
EXTRACURRICULAR ACTIVITIES,8.0,1.0,0.0,0.0,inf,inf
BEAUTY ROUTINE,0.0,0.0,9.0,1.0,0.0,0.0
APOLOGIZING TO AUDIENCE,8.0,1.0,0.0,0.0,inf,inf
RHYTHMIC FLOW,0.0,0.0,7.0,1.0,0.0,0.0
VOLCANO BAY,14.0,1.0,0.0,0.0,inf,inf
DARK-PATTERNED CARPET,0.0,0.0,6.0,1.0,0.0,0.0
PRODUCT VISIBILITY,22.0,3.0,0.0,0.0,inf,inf
SLIGHT NOD,7.0,1.0,0.0,0.0,inf,inf
CONSISTENT BACKGROUND NOISE,15.0,2.0,0.0,0.0,inf,inf
PLAYFUL EXPRESSION,8.0,1.0,0.0,0.0,inf,inf
MID-RANGE FOCUS,0.0,0.0,6.0,1.0,0.0,0.0
BACKING VOCAL HARMONY,6.0,1.0,0.0,0.0,inf,inf
SECTION 1 AUDIO,9.0,1.0,0.0,0.0,inf,inf
FAST-PACED AUDIO,9.0,1.0,0.0,0.0,inf,inf
SELF-ASSURANCE,8.0,1.0,0.0,0.0,inf,inf
SLOWER/DRAWN OUT,6.0,1.0,0.0,0.0,inf,inf
NODS AND TILTS,14.0,2.0,0.0,0.0,inf,inf
CAMERA CONNECTION,0.0,0.0,7.0,1.0,0.0,0.0
ARMANI BEAUTY LUMINOUS SILK FOUNDATION,0.0,0.0,9.0,1.0,0.0,0.0
APPLICATION AND ENGAGEMENT,0.0,0.0,8.0,1.0,0.0,0.0
LIGHT BLUE WALL,6.0,1.0,0.0,0.0,inf,inf
CAT'S STILLNESS,0.0,0.0,7.0,1.0,0.0,0.0
FINGER POINTING,20.0,3.0,0.0,0.0,inf,inf
HIP HOP SONG,7.0,1.0,0.0,0.0,inf,inf
WARM NEUTRAL COLORS,0.0,0.0,7.0,1.0,0.0,0.0
LIGHT BLUE WALLS,6.0,1.0,0.0,0.0,inf,inf
HOT SAUCE,8.0,1.0,0.0,0.0,inf,inf
WINE GLASSES,7.0,1.0,0.0,0.0,inf,inf
FOCUS,8.0,1.0,14.0,2.0,0.5714285714285714,0.5
HOME GYM,7.0,1.0,0.0,0.0,inf,inf
MAKEUP BY MARIO,8.0,1.0,0.0,0.0,inf,inf
WOODEN CABINETS,7.0,1.0,0.0,0.0,inf,inf
BRAND NAME AND LOGO,0.0,0.0,17.0,2.0,0.0,0.0
LIGHT PINK HOODIE,7.0,1.0,0.0,0.0,inf,inf
DECORATIVE PIECES,5.0,1.0,0.0,0.0,inf,inf
COMFORTABLE ROBE AND SLIPPERS,8.0,1.0,0.0,0.0,inf,inf
RMS VOLUME,0.0,0.0,5.0,1.0,0.0,0.0
TIDY STORAGE,8.0,1.0,0.0,0.0,inf,inf
VOCAL TONE,8.0,1.0,8.0,1.0,1.0,1.0
PINK SCRUNCHIE,0.0,0.0,7.0,1.0,0.0,0.0
TRANSCRIPT ACCURACY,6.0,1.0,0.0,0.0,inf,inf
CONFIDENT DEMEANOR,15.0,2.0,8.0,1.0,1.875,2.0
POSTER/ART,6.0,1.0,0.0,0.0,inf,inf
PERC 30,0.0,0.0,5.0,1.0,0.0,0.0
NEUTRAL BROWNS,0.0,0.0,5.0,1.0,0.0,0.0
WHITE CAST,6.0,1.0,0.0,0.0,inf,inf
HAND HOLDING MENU,9.0,1.0,0.0,0.0,inf,inf
DRINK,17.0,1.0,0.0,0.0,inf,inf
MISSING CONTEXT,0.0,0.0,6.0,1.0,0.0,0.0
PINK GARMENT,6.0,1.0,0.0,0.0,inf,inf
WIRELESS EARBUDS,6.0,1.0,0.0,0.0,inf,inf
AVERAGE CONVERSATIONAL PACE,16.0,2.0,0.0,0.0,inf,inf
SPONSORED VIDEO,45.0,6.0,0.0,0.0,inf,inf
RHYTHMIC STRUMMING,8.0,1.0,0.0,0.0,inf,inf
HEAD TILTS,22.0,3.0,5.0,1.0,4.4,3.0
MALE VOCAL,7.0,1.0,0.0,0.0,inf,inf
VISIBLE ITEMS,6.0,1.0,0.0,0.0,inf,inf
FOUNDATION,8.0,1.0,0.0,0.0,inf,inf
PACKING AND ORGANIZING,8.0,1.0,0.0,0.0,inf,inf
ENGAGED/INVITING,8.0,1.0,0.0,0.0,inf,inf
BEEPS,8.0,1.0,0.0,0.0,inf,inf
NATURAL WOOD-TONED CABINETS,8.0,1.0,0.0,0.0,inf,inf
REQUEST FOR TIPS,8.0,1.0,0.0,0.0,inf,inf
FOOT MOVEMENT,15.0,2.0,0.0,0.0,inf,inf
UNBOXING ACTIVITY,9.0,1.0,8.0,1.0,1.125,1.0
REPETITION OF PHRASES,7.0,1.0,0.0,0.0,inf,inf
LO-FI ELEMENTS,5.0,1.0,0.0,0.0,inf,inf
YELLOW FLOWER SHIRT,6.0,1.0,0.0,0.0,inf,inf
PERSONAL SETTING,8.0,1.0,0.0,0.0,inf,inf
EMOTIONAL INTENSITY,7.0,1.0,0.0,0.0,inf,inf
PLAYFUL,16.0,2.0,0.0,0.0,inf,inf
GAZE SHIFT,15.0,2.0,0.0,0.0,inf,inf
PEACE SIGN GESTURE,20.0,3.0,5.0,1.0,4.0,3.0
LIGHT BLUE TOP,7.0,1.0,0.0,0.0,inf,inf
HASHTAGS,0.0,0.0,12.0,2.0,0.0,0.0
ABSTRACT ARTWORK,0.0,0.0,5.0,1.0,0.0,0.0
HINT OF A SMILE,0.0,0.0,7.0,1.0,0.0,0.0
INTRODUCTION,30.0,4.0,15.0,2.0,2.0,2.0
POSITIVE AND ENTHUSIASTIC DEMEANOR,9.0,1.0,9.0,1.0,1.0,1.0
DECORATIONS AND SETUP,0.0,0.0,7.0,1.0,0.0,0.0
CHEERFUL INSTRUMENTAL AUDIO,7.0,1.0,0.0,0.0,inf,inf
FITNESS EVENT,8.0,1.0,0.0,0.0,inf,inf
NARRATIVE INTEGRATION,6.0,1.0,0.0,0.0,inf,inf
ACTIVITIES,0.0,0.0,8.0,1.0,0.0,0.0
CAMERA FOCUS,9.0,1.0,0.0,0.0,inf,inf
BEFORE-AND-AFTER RESULTS,0.0,0.0,6.0,1.0,0.0,0.0
BOOKS,10.0,2.0,4.0,1.0,2.5,2.0
RELAXING ACTIVITY,6.0,1.0,0.0,0.0,inf,inf
GOOD MORNING GREETING,6.0,1.0,0.0,0.0,inf,inf
CONFIDENCE AND CHARISMA,9.0,1.0,0.0,0.0,inf,inf
BRAID BAR,0.0,0.0,7.0,1.0,0.0,0.0
MIRROR,53.0,8.0,30.0,4.0,1.7666666666666666,2.0
FEMALE VOCAL RANGE,15.0,1.0,0.0,0.0,inf,inf
ALFRED'S GIVEAWAY,9.0,1.0,0.0,0.0,inf,inf
CHILDHOOD OBSESSION,7.0,1.0,0.0,0.0,inf,inf
SENTENCE UNCLEARNESS,6.0,1.0,0.0,0.0,inf,inf
COFFEE RECOMMENDATIONS,7.0,1.0,0.0,0.0,inf,inf
LIGHTER FLICK,7.0,1.0,0.0,0.0,inf,inf
CALM AND TRANQUILITY,0.0,0.0,8.0,1.0,0.0,0.0
SPONSORED POST,27.0,3.0,0.0,0.0,inf,inf
SUSPENSE,0.0,0.0,7.0,1.0,0.0,0.0
BOOK OR PAD,6.0,1.0,0.0,0.0,inf,inf
RED HAIR,15.0,2.0,0.0,0.0,inf,inf
MULTITASKING,8.0,1.0,0.0,0.0,inf,inf
