,HighWeight,LowWeight,RelativeWeight
EXPRESSIVE FACIAL EXPRESSIONS,8.0,,
ENGAGING HAND GESTURES,8.0,,
RESIDENTIAL ENVIRONMENT,7.0,,
VLOG-STYLE AUDIO,1.0,,
LIGHT BLUE T-SHIRT,7.0,,
BICYCLE,13.0,,
TREES AND SKY,8.0,,
SUNNY DAY,16.0,,
BRACES,9.0,,
HUNGER,8.0,,
PAIN,8.0,,
PROCESS OF STRAIGHTENING TEETH,9.0,,
SNACKER,8.0,,
TIK TOK GREETING,8.0,,
AUDIO CLARITY,7.0,,
MILK MAKEUP,,7.0,
VISUAL AND VERBAL CUES,,6.0,
INTERACTION TECHNIQUES,,7.0,
NEUTRAL EXPRESSION,22.0,12.0,1.8333333333333333
SLIGHT SMILE,7.0,,
BEAUTY ROUTINE,,7.0,
USERNAME,19.0,,
DRESS BY I AM GIA,,7.0,
BRAND I AM GIA,,6.0,
WALL ART AND FRAMES,,5.0,
TABLE OR DRESSER,,1.0,
FASHION AND STYLE THEME,,6.0,
DECORATIVE ELEMENTS,7.0,17.0,0.4117647058823529
CONFIDENT/ASSERTIVE EXPRESSION,,6.0,
SUBTLE SMILE,,6.0,
CONFIDENT POSTURE,,6.0,
ENTHUSIASM,16.0,7.0,2.2857142857142856
SINCERITY,45.0,7.0,6.428571428571429
CONFIDENCE AND COMFORT,,7.0,
EXPRESSION,,1.0,
AMIKA EVENT,,7.0,
AMIKA,,7.0,
PRODUCT SAMPLING,,6.0,
PERSONALIZED NAIL POLISH,,6.0,
BRAND REPRESENTATIVES,,6.0,
GOODIE BAG,,1.0,
DECORATIONS,,5.0,
ATTENDEES,,5.0,
WORKSHOPS,,5.0,
FLOWERS,,5.0,
TREATS,8.0,5.0,1.6
BRAID BAR,,5.0,
MANICURE STATION,,5.0,
PARTNER,,5.0,
CAKE,,1.0,
EVENT LOCATION,,5.0,
AUDIO PATTERN,9.0,,
UPWARD INFLECTIONS,8.0,,
MODERATELY FAST PACE,9.0,,
LOW BACKGROUND NOISE,16.0,,
ELECTRONIC HUM,1.0,,
ROO,8.0,,
COZY LIVING SPACE,8.0,,
OUTFITS,7.0,,
HOUSEHOLD PRODUCTS,7.0,,
JINGLE,7.0,,
MODERN LAMP,6.0,,
WOODEN COFFEE TABLE,6.0,,
TRACK LIGHTING,6.0,,
DECORATIVE BOWL,1.0,,
DIY LASH EXTENSIONS,,7.0,
PERSONAL ENVIRONMENT,,6.0,
SPONSORED CONTENT INDICATIONS,,7.0,
INSTRUCTIONAL STYLE,,7.0,
DEMONSTRATION,,7.0,
AUTHENTIC ENGAGEMENT,,7.0,
VERBAL PROMOTION,,6.0,
INTRODUCTION,,7.0,
APPLICATION PROCESS,,7.0,
OUTCOME,,7.0,
NEUTRAL/CALM EXPRESSION,,6.0,
FOCUSED/CONCENTRATED EXPRESSION,,7.0,
DEMONSTRATIVE EXPRESSION,,7.0,
SATISFIED/CONTENT EXPRESSION,,7.0,
GENERAL DIRECTION,,7.0,
COMFORT,8.0,,
NEUTRAL BACKGROUND,7.0,,
"BRIGHT, UPBEAT SYNTH MELODY",8.0,,
MIXED EMOTIONS,1.0,,
POV SCENARIO,,7.0,
HUMOROUS THEME,,7.0,
CURTAINS,,6.0,
WOODEN CEILING,,6.0,
MUSIC OR SOUND,,1.0,
FAMILY,,7.0,
PHONE MODELS,8.0,,
TECH REVIEW SETTING,8.0,,
DYNAMIC HEAD AND EYE MOVEMENTS,8.0,,
BLURRED PLANT OR DECOR ITEM,1.0,,
WALL DECOR,7.0,,
STYLISH HANDBAG,8.0,,
TROPICAL BACKGROUND,7.0,,
SYMMETRY BRAND,7.0,,
EMBROIDERED PATTERNS,8.0,,
FEMALE HAND,8.0,,
CURLY SILVER HAIR,,7.0,
WATERMARK @MIAMAUGE,,7.0,
SONG LYRICS,1.0,1.0,1.0
LYRICS TRANSCRIPT,8.0,,
STEADY SPEECH RATE,8.0,,
REPETITIVE SONG STRUCTURE,7.0,,
PASSIONATE LOVE SONG,9.0,,
CLEAN AUDIO,1.0,,
SILENCE INTERVAL,7.0,,
TOOTHBRUSH,9.0,,
POP SONG AUDIO,2.0,,
SHOWER CURTAIN,7.0,,
TOWELS,7.0,,
MEDIUM SILENCE,,6.0,
NO BACKGROUND MUSIC,,1.0,
OVERLAPPING MUSIC,,7.0,
TRANSITION IN SONG,,1.0,
PARK SETTING,8.0,,
YOUNG CHILD,9.0,,
DEER,7.0,,
CIRCLE BEVERAGE,6.0,,
MILA,8.0,,
FLOWER PATTERN SWEATER,6.0,,
BRIGHT PURPLE LEGGINGS,6.0,,
PINK SCOOTER,6.0,,
LOW ROCK WALL,6.0,,
PARK BENCHES,6.0,,
BASKETBALL HOOP,6.0,,
EXPANSIVE GRASS AREAS,8.0,,
TREES,8.0,,
PAVED PATHWAY,7.0,,
CAT,8.0,6.0,1.3333333333333333
DOGS AT DAYCARE,,6.0,
INDOOR SETTING (LEFT FRAME),,5.0,
INDOOR SETTING (RIGHT FRAME),,5.0,
AI MANGA FILTER,,7.0,
JAPANESE POP SONG,,1.0,
CAT MOVEMENTS,,6.0,
DOG EXPRESSIONS,,6.0,
DOG MOVEMENTS,,6.0,
VOCAL STYLE,,5.0,
INSTRUMENTAL ELEMENTS,,5.0,
AUDIO IMPRESSION,,1.0,
CAT EXPRESSIONS,,6.0,
BEAUTY TRANSFORMATION,8.0,7.0,1.1428571428571428
LIGHT PINK HOODIE,7.0,,
MAKEUP TUTORIAL AUDIO,9.0,,
AMERICAN ACCENT,23.0,,
FIGURINES,7.0,,
POSITIVE ATTITUDE,8.0,,
CONFIDENCE BOOST,8.0,,
HEAD AND HAND MOVEMENTS,9.0,,
ELECTRICAL NOISE,7.0,,
RUSTLING SOUND,7.0,,
TAPPING SOUND,8.0,,
LIP SMACKING,7.0,,
SLIGHT PAUSES,8.0,,
MID-RANGE PITCH,8.0,,
QUIET INDOOR ENVIRONMENT,1.0,5.0,0.2
CONSISTENT SPEECH PACE,8.0,,
150-180 WORDS,7.0,,
15-25 DECIBELS,7.0,,
NO LONG PAUSES,8.0,,
INFLUENCER VIDEO,9.0,7.0,1.2857142857142858
WALMART,8.0,11.0,0.7272727272727273
ROCK GRAPHIC TEES,,7.0,
CLOTHING RACK,8.0,,
HANGERS,,5.0,
CLOTHING GRAPHICS,,7.0,
OPEN PALM HAND GESTURE,,6.0,
INDOOR RETAIL STORE,,6.0,
POP ROCK MUSIC,8.0,,
OVERALL IMPRESSION,8.0,,
"SONG ""GOOD TIME""",8.0,,
LAUGHTER IN SINGING,1.0,,
OWL CITY,8.0,,
CARLY RAE JEPSEN,1.0,,
DISTORTED VOCAL EFFECT,7.0,,
MALE COMPANION,8.0,,
AFRO NATION WEEKEND,9.0,,
AFRICAN SONG,9.0,,
CALL-AND-RESPONSE VOCALS,8.0,,
DRUMS AND PERCUSSION,1.0,,
LARGE RECTANGULAR MIRROR,7.0,,
WARM AND SOFT LIGHTING,8.0,,
PEACE OR VICTORY SIGN,7.0,,
PLAYFUL POUT,8.0,,
CONFIDENT SMILE,8.0,,
RHYTHMIC MOVEMENT,9.0,,
MIAMI,8.0,,
AMAZON COAT RACK,8.0,,
WALK-IN CLOSET,8.0,,
ELECTRONIC MUSIC LOOP,7.0,,
ABSTRACT ARTWORK,6.0,,
SETUP ACTIVITY,8.0,,
ORGANIZATION ACTIVITY,8.0,,
UNBOXING ACTIVITY,8.0,7.0,1.1428571428571428
CAKE WITH ELSA DESIGN,9.0,,
WISHFUL THINKING CAKES,8.0,,
CORI,9.0,,
EDEN,8.0,,
MALE NARRATOR,7.0,7.0,1.0
SNOWFLAKE DECORATIONS,7.0,,
"TOPPER WITH ""4 EDEN""",8.0,,
GLOSSY COUNTER,6.0,,
WHITE SUBWAY TILES,6.0,,
SCREENS WITH CONTENT,1.0,,
ELSA CHARACTER IMAGE,8.0,,
STORYTIME VLOG,,7.0,
HALLOW APP,,6.0,
PAID PROMOTION,,7.0,
EMOTIONAL EXPRESSIONS,,7.0,
MENTAL HEALTH DISCUSSION,,7.0,
YOUTUBE CHANNEL,9.0,6.0,1.5
WEEKLY VLOG,,1.0,
TEACHING INCIDENT,,7.0,
TEXT OVERLAYS,21.0,,
ADVERTISEMENT,6.0,,
VIDEO INTERFACE,7.0,,
SOCIAL MEDIA ELEMENTS,8.0,,
MUSIC,19.0,,
SUBSCRIBER COUNT,7.0,,
EMOTIONAL WEIGHT,,7.0,
HAIR TOOL,,7.0,
CURLING TECHNIQUE,,7.0,
WHITE DOOR,8.0,,
ARMANI BEAUTY LUMINOUS SILK FOUNDATION,8.0,,
ARMANI BEAUTY LUMINOUS SILK CONCEALER,8.0,,
DECORATIVE TOWELS,7.0,,
MAKEUP DISCUSSION,9.0,,
SOUTHERN US ACCENT,7.0,,
CLOSED DOOR,7.0,,
COMPACT STORAGE SOLUTIONS,,7.0,
PERSONALIZED TOUCHES,,6.0,
COLOR COORDINATION,,6.0,
CREATIVE DISPLAY,,7.0,
VISIBILITY AND INTERACTION,,6.0,
BRANDING AND TAGS,,6.0,
MARKETING STRATEGY,,7.0,
OPENING THE DEVICE,,6.0,
REMOVING ITEMS,,6.0,
CAMERA FOCUS,,7.0,
PINK CASE,,6.0,
DECORATIVE STICKERS,,6.0,
WHITE METAL-FRAMED SHELVING UNIT,,6.0,
SOFT DIFFUSE LIGHTING,,6.0,
PAPER SHUFFLING SOUND,,5.0,
LIGHTER CLICKING SOUND,,5.0,
FLAME CRACKLING SOUND,,5.0,
LOW-PITCHED PIANO NOTES,,1.0,
TUTORIAL VIDEO,9.0,,
NUFACE DEVICE,8.0,,
BEEPING SOUND,1.0,,
USER REQUEST,7.0,,
FURNITURE AND DECOR,6.0,,
TIKTOK LOGO AND USERNAME,9.0,,
SKINCARE THEME,8.0,,
MIRROR SELFIE,7.0,7.0,1.0
OVERLAY TEXT,8.0,6.0,1.3333333333333333
POSITIVE MESSAGE,,6.0,
TOILETRIES,,1.0,
SINK FAUCET,,5.0,
SOAP DISPENSER,,5.0,
WALL TOWEL HOLDER,,5.0,
BRUSH HOLDER,,5.0,
COSMETIC PRODUCTS,,1.0,
SEASONING PACKET,7.0,,
GLASS MIXING BOWL,6.0,,
UPBEAT LATIN MUSIC,13.0,,
RECIPE VIDEO AUDIO,1.0,,
INTERACTION WITH PRODUCT,8.0,,
HOMEMADE TACO SEASONING,8.0,,
METAL SOUNDS,1.0,,
SPEECH DELIVERY,9.0,7.0,1.2857142857142858
INGREDIENTS LIST,8.0,,
BOWL OF PHO,8.0,,
RESTAURANT SETTING,8.0,,
PERSONAL BRANDING,1.0,,
SATISFACTION EXPRESSION,8.0,,
ENJOYMENT EXPRESSION,9.0,,
CHOPSTICKS GESTURE,8.0,,
CAMERA ENGAGEMENT,7.0,,
FOOD INTERACTION,8.0,,
ANTICIPATION EXPRESSION,7.0,,
INDOOR RESTAURANT SETTING,8.0,,
PHO DISH,8.0,,
FAH HAPPINESS,1.0,,
DISCOMFORT,16.0,,
CITY AMBIANCE,7.0,,
RECURRING PATTERNS,8.0,,
GRILLED MEAT,9.0,,
TONGS,7.0,,
GRILL OR GRIDDLE SURFACE,7.0,,
SMOKE OR STEAM,8.0,,
KITCHEN OR COOKING SPACE,7.0,,
SOONG HAK KOREAN BARBECUE,7.0,,
RESTAURANT AMBIANCE,1.0,,
KOREAN BARBECUE,7.0,,
GOPCHANG,7.0,,
BRISKET,7.0,,
PORK BELLY,7.0,,
KIMCHI FRIED RICE,7.0,,
SOUTHERN CALIFORNIA,1.0,,
COOKING TECHNIQUE,17.0,,
SPEECH PACE,1.0,,
TRANSCRIPT,,1.0,
MARATHON TIPS,,7.0,
SPONSORED CONTENT INDICATORS,7.0,5.0,1.4
RUNNING MOVEMENTS,,7.0,
SUBURBAN NEIGHBORHOOD,8.0,6.0,1.3333333333333333
EDUCATIONAL PURPOSE,,7.0,
ARM AND HAND MOVEMENTS,8.0,7.0,1.1428571428571428
RESIDENTIAL AREA,15.0,6.0,2.5
WEATHER CONDITIONS,,1.0,
INTRODUCTION TEXT,,6.0,
TEXT-BASED CHATBOT,,6.0,
DECIBEL METER,,5.0,
REPEATING MUSICAL LOOP,,1.0,
VOLUME FLUCTUATIONS,,5.0,
MAXIMUM VOLUME POINT,,4.0,
MINIMUM VOLUME POINT,,4.0,
LOUDNESS ANALYSIS,,5.0,
E.L.F. COSMETICS,,7.0,
HALO GLOW WANDS,,7.0,
BACKGROUND AND ENVIRONMENT,,5.0,
SONG AUDIO,9.0,1.0,9.0
BEAUTY PRODUCT REVIEW,,7.0,
VOLUME LEVEL,8.0,,
LIVING ROOM SETTING,9.0,,
MUSICAL SOUNDTRACK,8.0,,
SPONSORSHIP CONSIDERATIONS,1.0,,
NATURAL LIGHT,14.0,5.0,2.8
PLUCKED STRING INSTRUMENT,8.0,,
SYNTH PADS,7.0,,
GLOCKENSPIEL,7.0,,
SUBTLE BASS,6.0,,
SPARSE PERCUSSION,1.0,,
WELL-LIT LIVING ROOM,9.0,,
DAY IN THE LIFE VLOG,8.0,,
LARGE ICED BEVERAGE,7.0,,
MARKETING GIRL,8.0,,
SCOTTSDALE BOUTIQUE,7.0,,
PARADISE VALLEY HOME,7.0,,
MASERATI,14.0,,
CAMELBACK MOUNTAIN,6.0,,
COOKIES AND WINE,1.0,,
AJ'S,14.0,,
SUPER BOWL WASTE MANAGEMENT,7.0,,
BARRETT-JACKSON,7.0,,
FOOD NETWORK BAKING COMPETITION WINNER,7.0,,
PUBLISHER,6.0,,
MAGAZINE,6.0,,
MOVIE THEATER,7.0,,
BAKING COMPETITION,8.0,,
YOUTUBE CONTENT,8.0,,
MAGAZINE STORY,1.0,,
HOUSE,7.0,,
VINTAGE CLOTHING,8.0,,
HIP HOP SONG,7.0,,
WOODEN CABINET,6.0,,
LIGHT FIXTURE,6.0,,
COLORFUL FABRIC,6.0,,
GENTLE GESTURES,1.0,,
RAP MUSIC,8.0,,
NON-VERBAL VOCALIZATIONS,9.0,,
LYRICAL STRUCTURE,1.0,,
TEXT-BASED AI LIMITATION,5.0,,
AUDIO ANALYSIS METHOD,7.0,,
WALKIE-TALKIE,8.0,,
SECOND INDIVIDUAL,6.0,,
WHITE SHIRT,13.0,,
WOODEN TABLE,7.0,,
BLUE CLOTHING,7.0,,
WHITE HAT,7.0,,
TRAP MUSIC,1.0,,
CONTENT AND REFLECTIVE EXPRESSION,8.0,,
COMEDIC SKIT,8.0,7.0,1.1428571428571428
SPENDING PRIORITIES,8.0,,
VISUAL TEXT OVERLAYS,7.0,,
PHYSICAL EXPRESSIONS,9.0,,
CONVERSATION ON INVESTING,1.0,,
BACK POSTURE IMPROVEMENT,6.0,,
INVESTMENTS,7.0,,
FRIEND 1,7.0,,
FRIEND 2,1.0,,
SNEAKERS,6.0,,
HUMOROUS TIKTOK SKIT,9.0,,
BOUJEE BLACK DAD,8.0,,
LUXURY ITEMS,7.0,,
TESLA FEATURES,7.0,,
STOCK CHECK,7.0,,
JEWELRY SHOPPING,7.0,,
TIKTOK INTERFACE ELEMENTS,6.0,,
RAIN ON WINDSHIELD,6.0,,
ROAD AND TRAFFIC,6.0,,
SMART CAR FEATURES,7.0,,
ENGAGING DEMEANOR,8.0,,
RAINY WEATHER,6.0,,
GLOOMY ATMOSPHERE,6.0,,
VINYL RECORD SCRATCH,14.0,,
INVESTMENT SUGGESTIONS,8.0,,
ELECTRONIC BEAT,17.0,,
VOCAL EMPHASIS,7.0,,
SPOKEN-WORD QUALITY,8.0,,
INTIMATE AND CONVERSATIONAL FEEL,8.0,,
RHYTHMIC DELIVERY,8.0,,
SENSE OF ANTICIPATION,7.0,,
MELODIC RAPPING,8.0,,
RUNNING ATTIRE,7.0,,
CLEAR SKY,7.0,,
STREETS,8.0,,
STREET INFRASTRUCTURE,7.0,,
HOUSES,7.0,,
CHANTING AND YELLING,8.0,,
DRUMBEAT,7.0,,
EXCLAMATORY SOUNDS,1.0,,
FADE-OUT,7.0,,
"REPEATED ""HEY""",8.0,,
"REPEATED ""WHAT""",7.0,,
VOLUME CHANGES,8.0,,
COMEDIC SCENARIO,,7.0,
RECEIPT,,7.0,
SOUL MUSIC,,6.0,
TRIO,,5.0,
TWO INDIVIDUALS,,6.0,
FINGER MOVEMENT,,6.0,
WOMAN'S VOICE,18.0,1.0,18.0
ONION PURCHASES,,7.0,
FEMALE INFLUENCERS,,7.0,
PHOTO SHOOT SESSION,,7.0,
REAL ESTATE GROUP,,6.0,
WELL-DECORATED INTERIOR,,6.0,
PHOTOGRAPHER,,6.0,
THREE WOMEN,,6.0,
CAMERA EQUIPMENT,,5.0,
"RALEIGH, NORTH CAROLINA",,5.0,
SYNTH MELODY,14.0,,
LOW PITCH,8.0,6.0,1.3333333333333333
REPETITIVE RHYTHM,7.0,,
STUDIO ENVIRONMENT,6.0,,
PHOTOSHOOT THEME,8.0,,
RHYTHMIC FLOW,1.0,,
PRODUCT INTRODUCTION AND INTERACTION,8.0,,
OVERALL STRATEGY,9.0,,
INFLUENCER'S EMOTIONAL STATE,8.0,,
INDOOR KITCHEN SETTING,23.0,6.0,3.8333333333333335
NECKLACE,6.0,,
BLACK HISTORY MONTH,8.0,,
POLICE CRUISERS,8.0,,
AFRICAN-AMERICAN STUDIES,7.0,,
LAW ENFORCEMENT TRAINING,8.0,,
DARK BROWN CABINETS,7.0,,
POLICE BRUTALITY,8.0,,
EQUAL RIGHTS,8.0,,
REPRESENTATION IN EDUCATION,7.0,,
BARBER TRAINING,1.0,,
EDUCATION OF OFFICERS,,6.0,
BARBER VS. POLICE OFFICER,,6.0,
PERCEIVED OBLIVIOUSNESS,,6.0,
ALLOCATION OF MONEY,,6.0,
POLICE CRUISER,,6.0,
BLACK HISTORY IN SCHOOLS,,6.0,
BOOTLICKERS AND BADGE BUNNIES,,6.0,
COUNTRY,,6.0,
LAUGHS/SCOFFS,,6.0,
SIGHS,,6.0,
HESITATIONS/STUTTERS,,1.0,
TRAFFIC OR ENVIRONMENTAL SOUNDS,,5.0,
SHORT PAUSES,,6.0,
LONGER PAUSES,,6.0,
SENSE OF DISBELIEF,,6.0,
SENSE OF EXASPERATION,,6.0,
IMPASSIONED TONE,,1.0,
FRUSTRATION OR SARCASM,,6.0,
TECH-RELATED BACKGROUND,,6.0,
BRAND VISIBILITY,21.0,7.0,3.0
PRODUCT PRESENTATION,,7.0,
PIXEL 6 & 7,8.0,,
BEST BUY CANADA,1.0,,
DOMINANT COLORS,7.0,,
MONITOR OR TV SCREEN,7.0,,
VOICE DICTATION,8.0,,
GOOGLE KEYBOARD,1.0,,
LO-FI HIP HOP MUSIC,,6.0,
VOCAL SAMPLE,,6.0,
GREENERY OUTSIDE,,1.0,
WHITE ROBE,7.0,,
HAIR ROUTINE,9.0,,
TILED BACKGROUND,8.0,,
INTRODUCTION OF THE PRODUCT,7.0,,
OLAMONDE GOURMAND SKIN SCENT COLLECTION,8.0,,
BRANDED TISSUE PAPER,6.0,,
CARDBOARD BOX,7.0,,
LEMON BOURBON,7.0,,
CLEMENTINE BISOU,8.0,,
TRIPLE ZERO FRAGRANCE,1.0,,
LARGE HOOP EARRINGS,6.0,,
MULTIPLE RINGS,6.0,,
HEART EMOJI,1.0,,
PRODUCT PROMOTION THEME,8.0,,
SOUNDS OF SATISFACTION,,1.0,
VARIED PACE,,7.0,
HIGH PITCH,,6.0,
THE WESLEY,8.0,,
BRUNCH EXPERIENCE,9.0,,
MENU,8.0,,
WINE GLASSES,15.0,,
SALAD AND EGG DISH,8.0,,
DINING SETTING,17.0,,
CAMERA MOVEMENT,1.0,6.0,0.16666666666666666
WEST VILLAGE,8.0,,
THE WESLEY MENU,8.0,,
TABLE SURFACE,8.0,,
CHAIR BACK,7.0,,
HIP HOP MUSIC,8.0,,
ELEGANT ENVIRONMENT,9.0,,
MELLOW HIP HOP TRACK,8.0,,
SOPHISTICATED AMBIANCE,8.0,,
LAID-BACK VIBE,8.0,,
WEST COAST LIFESTYLE,7.0,,
MERCURY RETROGRADE,7.0,,
PROTECTING ENERGY,1.0,,
BRUNCH RECOMMENDATION,8.0,,
BRUNCH SPOT IN SITGES,,7.0,
CAFE OR RESTAURANT SETTING,,6.0,
BRUNCH MEAL,,6.0,
AVOCADO TOAST,,6.0,
SCRAMBLED EGGS,,6.0,
SIDE SALAD,,1.0,
VOCAL SAMPLES,7.0,,
KITCHEN OR BAR SETTING,8.0,,
LARGE POT,7.0,,
SUGAR,15.0,,
PRODUCTS IN BACKGROUND,6.0,,
MIXOLOGY THEME,8.0,,
SPONSORSHIP ELEMENTS,5.0,,
DYNAMIC MOVEMENTS,8.0,,
GREEN SHIRT,11.0,,
BEVERAGE OR COCKTAIL,8.0,,
BLACK COOKING POT,7.0,,
BANANA SYRUP TUTORIAL,9.0,,
KITCHEN SOUNDS,8.0,,
SHELVES WITH BOTTLES,7.0,,
YELLOW FOOD COLORING,7.0,,
BANANA,8.0,,
GESTURES AND EXPRESSIONS,9.0,,
LARGE MIRROR,7.0,,
HEADWEAR ON WALL,7.0,,
VLOG-STYLE FORMAT,16.0,,
DIY CRAFTING TUTORIAL,9.0,,
MATERIALS DISPLAYED,8.0,,
CRAFTING PROCESS,9.0,,
POSSIBLE SPONSORSHIP INDICATORS,7.0,,
PRODUCT FEATURING,7.0,,
INTERACTIONS AND PRESENTATION,8.0,,
SILVER BELLS,8.0,,
WOODEN STICK,8.0,,
YARN/THREAD,8.0,,
PRIDE WAND,9.0,,
FELT,8.0,,
PRIDE MONTH,9.0,,
JINGLE BELLS SOUND EFFECT,8.0,,
RAINBOWS,7.0,,
LOVE AND SUPPORT MESSAGE,8.0,,
HOT GLUE,8.0,,
PRIDE PARADES,9.0,,
CELEBRATE YOURSELF MESSAGE,1.0,,
TIKTOK HANDLE WATERMARK,7.0,,
JINGLE BELLS,7.0,,
DIY PROJECT,8.0,,
PRIDE PARADE,1.0,,
Y2K THEME PARTY,,7.0,
PARTY ELEMENTS,,6.0,
BALLOONS AND DECORATIONS,,6.0,
DJ SETUP,,6.0,
SHAKTI'S BIRTHDAY,,1.0,
BIRTHDAY PARTY,8.0,,
Y2K BALLOONS,7.0,,
DECORATIVE TABLECLOTH,7.0,,
CUPS AND CANS,7.0,,
STAIRCASE,7.0,,
"BRITNEY SPEARS'S ""TOXIC""",1.0,,
PARTY DECORATIONS,7.0,,
WARDROBE ORGANIZATION,7.0,,
SUNDAY VIBES,7.0,,
CHRISTMAS TREE,7.0,,
OUTDOOR BACKGROUND,,6.0,
EARRINGS,,5.0,
SURPRISE EXPRESSION,,6.0,
AMUSED SMILE,,6.0,
LIGHT-COLORED BRICK WALL,,5.0,
DARK-COLORED SLEEVELESS TOP,,5.0,
LARGE WINDOWS AND DOOR,7.0,,
BLACK PEOPLE,9.0,,
VOCAL TONE AND INFLECTION,1.0,,
ENTREPRENEURSHIP,9.0,,
ARTS AND ENTERTAINMENT,8.0,,
PANDEMIC,1.0,,
FEMALE INDIVIDUAL LEFT,9.0,,
FEMALE INDIVIDUAL RIGHT,9.0,,
GRADUATION ATTIRE,8.0,,
MIRRORBALL GRAD GIRLIES,7.0,,
FINGER HEART GESTURE,7.0,,
DECORATIVE LIGHTS,13.0,,
CLASS OF 2023,8.0,,
BLUE AND GOLD STOLES,8.0,,
MIRRORBALL EMOJI,6.0,,
GRADUATION CAP EMOJI,1.0,,
GRADUATION EVENT,9.0,,
LYRICS PHRASE,8.0,,
VOLUME ANALYSIS,6.0,,
FREQUENCY SPECTRUM,6.0,,
ELECTRONIC DANCE MUSIC,9.0,1.0,9.0
ROSA,9.0,,
PROFESSIONAL KITCHEN,8.0,,
DUMPLINGS,9.0,,
PIANO MUSIC,1.0,,
TILED BACKSPLASH,7.0,,
KITCHEN TOOLS,7.0,,
METAL COUNTER,7.0,,
METAL TRAYS,7.0,,
WHITE TOWEL,6.0,,
STACKED PLASTIC CONTAINERS,6.0,,
STICKER LABELS,6.0,,
OVERHEAD METALLIC KITCHEN TOOLS,1.0,,
STAINLESS STEEL TABLES,7.0,,
TWITTER VERIFICATION,7.0,,
ELON MUSK,1.0,,
CASUAL CLOTHING,7.0,,
TABLE,6.0,,
BLUE CHECKMARK,1.0,,
CAMERA,8.0,,
PAID VERIFICATION,8.0,,
CONVERSATIONAL STYLE,8.0,,
EMPHASIS,1.0,,
SARCASM,8.0,,
WELLNESS THEME,9.0,,
EMOTIONAL STATES,9.0,,
WINDOW AND BACKGROUND BUILDINGS,1.0,,
CLOTHING COLORS,1.0,,
URBAN BACKGROUND,7.0,,
HEALTH ADVICE,1.0,,
BUILDINGS,6.0,,
HORMONE BALANCE,10.0,,
GUT HEALTH,9.0,,
NUTRIENT DEFICIENCIES,9.0,,
TESTOSTERONE,8.0,,
CORTISOL,8.0,,
MOLD TOXICITY,7.0,,
HEAVY METALS,7.0,,
LIFESTYLE,8.0,,
BEAUTY TUTORIAL,8.0,,
ORGANIZED BACKGROUND,7.0,,
VISUAL EMPHASIS,7.0,,
COMMUNICATION STYLE,8.0,,
NON-VERBAL CUES,8.0,,
CALL-TO-ACTION,1.0,,
BOOKS OR NOTEBOOKS,7.0,5.0,1.4
LOW-PITCHED MALE VOICE,8.0,,
HIGH-PITCHED CLANKING SOUND,1.0,,
GESTURES AND MOVEMENTS,8.0,1.0,8.0
ENERGY AND TONE,8.0,,
ARTIFICIAL LIGHTING,7.0,,
PINK CHAIR,7.0,,
COLORFUL FRAMED ITEMS,7.0,,
WALL SHELVING,7.0,,
RHYTHMIC BEAT,1.0,,
YOUNG MAN WITH BACKPACK,,7.0,
OUTDOOR LOCATION,,6.0,
CASUAL CONVERSATION,,7.0,
INTERVIEWEE,8.0,,
AUDIO CLIPS,8.0,,
UNPOPULAR OPINIONS,8.0,,
RED PLAID SHIRT,1.0,,
EARTHY TONES,17.0,,
WINTER-LIKE APPEARANCE,7.0,,
CLEAR DIALOGUE,9.0,,
VIDEO GAME CHARACTER,,7.0,
VIRTUAL ENVIRONMENT,,6.0,
TIKTOK VIDEO,,7.0,
GAMING CULTURE,,7.0,
FORTNITE,,6.0,
DANCE ANIMATION,,7.0,
SCARLETT SHADE,,6.0,
BABY,16.0,,
CRUMBL COOKIES,7.0,,
SUPPORTIVE MESSAGE,1.0,,
DELIVERY BOXES,7.0,,
MOTHERHOOD CHALLENGES,9.0,,
BODY MOVEMENTS,1.0,,
DOMESTIC SETTING,8.0,,
CARDBOARD BOXES,7.0,,
CHALKBOARD,7.0,,
LIGHT BLUE WALLS,7.0,,
RED CLOTHING,7.0,,
COUNTERTOP,7.0,,
PIZZA BOXES,7.0,,
WOODEN FLOOR,7.0,,
CHALKBOARD OR BLACKBOARD,7.0,,
ELECTRONIC INSTRUMENTATION,7.0,,
VOCAL RUNS,7.0,,
REVERB AND DELAY,7.0,,
KITCHEN OR DINING AREA,8.0,,
LUSH GREEN FIELD,9.0,,
CROUCHING AND JUMPING MOVEMENT,8.0,,
CROP FIELD,8.0,,
DIRT PATHWAY,7.0,,
NATURE AND OUTDOORS THEME,9.0,,
CALM AND REFLECTIVE EXPRESSION,8.0,,
SMILE AND POSITIVITY,8.0,,
CURIOSITY AND ENGAGEMENT,8.0,,
PEACEFUL ESCAPE,9.0,,
OPEN NATURAL SPACES,1.0,,
HALLWAY OR ENTRANCE AREA,,6.0,
CLOTHING STYLES,,7.0,
VERSACE BAG,,6.0,
THERMOSTAT,,5.0,
FASHIONABLE ENSEMBLE,,7.0,
TRANSITION,,7.0,
FASHION OR STYLING ACTIVITY,,8.0,
POLISHED WOODEN FLOORS,,5.0,
WHITE WALLS,,5.0,
DECORATIVE DOOR WITH GLASS PANEL,,5.0,
COLUMN DESIGN ELEMENT,,5.0,
OPEN DOORWAY,,5.0,
ROUND MIRROR,,5.0,
